Experiment,Run,Decrement,Strategy,PI,RS
1,1,TRUE,Concealers,6932.08,7.1
1,1,TRUE,Revealers,5914.06,6.72
1,2,TRUE,Concealers,5880.86,6.54
1,2,TRUE,Revealers,6166.58,6.72
1,3,TRUE,Concealers,6327.84,6.7
1,3,TRUE,Revealers,4743.46,5.96
1,4,TRUE,Concealers,7433.32,7.34
1,4,TRUE,Revealers,5557.9,6.58
1,5,TRUE,Concealers,6812.14,7.06
1,5,TRUE,Revealers,4981.2,6.08
1,6,TRUE,Concealers,4391.82,5.98
1,6,TRUE,Revealers,5973.38,6.48
1,7,TRUE,Concealers,6888.02,7.02
1,7,TRUE,Revealers,6266.38,6.86
1,8,TRUE,Concealers,5874.32,6.52
1,8,TRUE,Revealers,5451.16,6.26
1,9,TRUE,Concealers,7488.94,7.42
1,9,TRUE,Revealers,6664.58,7.04
1,10,TRUE,Concealers,7266.28,7.22
1,10,TRUE,Revealers,6216.32,6.78
1,11,TRUE,Concealers,6861.54,7
1,11,TRUE,Revealers,6675.2,6.94
1,12,TRUE,Concealers,7023.32,7.2
1,12,TRUE,Revealers,4415.26,5.86
1,13,TRUE,Concealers,6078.14,6.44
1,13,TRUE,Revealers,4847.18,5.94
1,14,TRUE,Concealers,6984.24,6.92
1,14,TRUE,Revealers,4469.5,5.92
1,15,TRUE,Concealers,6624.88,6.94
1,15,TRUE,Revealers,3836.7,5.56
1,16,TRUE,Concealers,6003.14,6.68
1,16,TRUE,Revealers,6841.12,6.96
1,17,TRUE,Concealers,7462.78,7.34
1,17,TRUE,Revealers,6297.08,6.72
1,18,TRUE,Concealers,7590.22,7.46
1,18,TRUE,Revealers,7243.18,7.36
1,19,TRUE,Concealers,6596.78,7.04
1,19,TRUE,Revealers,7591.96,7.38
1,20,TRUE,Concealers,5584.48,6.48
1,20,TRUE,Revealers,6861.18,7.08
1,21,TRUE,Concealers,7953.38,7.46
1,21,TRUE,Revealers,4880.24,6.12
1,22,TRUE,Concealers,5849.66,6.62
1,22,TRUE,Revealers,7090.76,7.14
1,23,TRUE,Concealers,7246.48,7.42
1,23,TRUE,Revealers,6332.94,6.84
1,24,TRUE,Concealers,5751.58,6.46
1,24,TRUE,Revealers,3953.04,5.66
1,25,TRUE,Concealers,5713.84,6.66
1,25,TRUE,Revealers,6247.14,6.72
1,26,TRUE,Concealers,6677.44,6.96
1,26,TRUE,Revealers,6865.02,7.1
1,27,TRUE,Concealers,7032.1,7.16
1,27,TRUE,Revealers,5860.18,6.62
1,28,TRUE,Concealers,5622.38,6.48
1,28,TRUE,Revealers,5884.36,6.62
1,29,TRUE,Concealers,6455.64,6.92
1,29,TRUE,Revealers,6493.16,6.92
1,30,TRUE,Concealers,7800.2,7.58
1,30,TRUE,Revealers,6130.98,6.82
1,31,TRUE,Concealers,7629.04,7.56
1,31,TRUE,Revealers,6467.78,6.88
1,32,TRUE,Concealers,6254.86,6.74
1,32,TRUE,Revealers,5024.22,6.16
1,33,TRUE,Concealers,5485.22,6.4
1,33,TRUE,Revealers,6825.72,7.08
1,34,TRUE,Concealers,4488.46,5.82
1,34,TRUE,Revealers,5528.4,6.34
1,35,TRUE,Concealers,6525.46,6.8
1,35,TRUE,Revealers,6468.14,6.86
1,36,TRUE,Concealers,7339.38,7.34
1,36,TRUE,Revealers,8126.2,7.68
1,37,TRUE,Concealers,6521.26,6.64
1,37,TRUE,Revealers,4671.06,5.94
1,38,TRUE,Concealers,7392.78,7.4
1,38,TRUE,Revealers,5505.26,6.52
1,39,TRUE,Concealers,6859.38,6.92
1,39,TRUE,Revealers,5181,6.32
1,40,TRUE,Concealers,5765.18,6.66
1,40,TRUE,Revealers,6961.72,7.18
1,41,TRUE,Concealers,6949.92,6.96
1,41,TRUE,Revealers,5468.6,6.46
1,42,TRUE,Concealers,6761.74,6.8
1,42,TRUE,Revealers,5132.94,6.24
1,43,TRUE,Concealers,5213.38,6.32
1,43,TRUE,Revealers,6674.8,6.98
1,44,TRUE,Concealers,6276.68,6.8
1,44,TRUE,Revealers,7928.22,7.64
1,45,TRUE,Concealers,7266.54,7.18
1,45,TRUE,Revealers,6465.28,6.86
1,46,TRUE,Concealers,6756.52,7.02
1,46,TRUE,Revealers,5801.86,6.64
1,47,TRUE,Concealers,5986.64,6.62
1,47,TRUE,Revealers,5364.48,6.4
1,48,TRUE,Concealers,5843.52,6.72
1,48,TRUE,Revealers,7040.88,7.3
1,49,TRUE,Concealers,6032.56,6.74
1,49,TRUE,Revealers,7765.56,7.5
1,50,TRUE,Concealers,5232.62,6.46
1,50,TRUE,Revealers,5743.22,6.62
1,51,TRUE,Concealers,5943.76,6.5
1,51,TRUE,Revealers,4495.16,5.92
1,52,TRUE,Concealers,4843.68,6.08
1,52,TRUE,Revealers,7410.46,7.22
1,53,TRUE,Concealers,7157.96,7.22
1,53,TRUE,Revealers,5381.42,6.36
1,54,TRUE,Concealers,6822.14,7.08
1,54,TRUE,Revealers,5253.62,6.4
1,55,TRUE,Concealers,6709.34,7
1,55,TRUE,Revealers,6845.22,7.12
1,56,TRUE,Concealers,6771.18,6.9
1,56,TRUE,Revealers,4415.98,5.9
1,57,TRUE,Concealers,6690.16,6.78
1,57,TRUE,Revealers,4310.68,5.8
1,58,TRUE,Concealers,5910.58,6.66
1,58,TRUE,Revealers,6896.7,7.06
1,59,TRUE,Concealers,6313.38,6.74
1,59,TRUE,Revealers,5565.48,6.44
1,60,TRUE,Concealers,7000.82,7.22
1,60,TRUE,Revealers,6872.38,7.12
1,61,TRUE,Concealers,6312.56,6.7
1,61,TRUE,Revealers,4790.54,5.98
1,62,TRUE,Concealers,5287.6,6.14
1,62,TRUE,Revealers,4543.38,5.88
1,63,TRUE,Concealers,7744.84,7.52
1,63,TRUE,Revealers,6579.24,7.04
1,64,TRUE,Concealers,6664.58,7.02
1,64,TRUE,Revealers,5323.04,6.4
1,65,TRUE,Concealers,5634.72,6.58
1,65,TRUE,Revealers,7946.68,7.5
1,66,TRUE,Concealers,6378.58,6.9
1,66,TRUE,Revealers,7433.04,7.34
1,67,TRUE,Concealers,4805.94,6.08
1,67,TRUE,Revealers,7122.3,7.04
1,68,TRUE,Concealers,6058.22,6.52
1,68,TRUE,Revealers,4597.44,5.92
1,69,TRUE,Concealers,7143.8,7.2
1,69,TRUE,Revealers,5900.46,6.64
1,70,TRUE,Concealers,5530.96,6.34
1,70,TRUE,Revealers,3966.74,5.64
1,71,TRUE,Concealers,7054.78,7.1
1,71,TRUE,Revealers,5487.72,6.44
1,72,TRUE,Concealers,7531.66,7.32
1,72,TRUE,Revealers,5810.02,6.64
1,73,TRUE,Concealers,7073.82,7.32
1,73,TRUE,Revealers,6870.74,6.96
1,74,TRUE,Concealers,5725.34,6.26
1,74,TRUE,Revealers,3255.82,5.24
1,75,TRUE,Concealers,6644.58,6.98
1,75,TRUE,Revealers,6182.82,6.72
1,76,TRUE,Concealers,6511.14,6.9
1,76,TRUE,Revealers,7001.96,7.16
1,77,TRUE,Concealers,5999.6,6.66
1,77,TRUE,Revealers,5785.48,6.62
1,78,TRUE,Concealers,5509.84,6.44
1,78,TRUE,Revealers,6686.64,6.96
1,79,TRUE,Concealers,6097.36,6.68
1,79,TRUE,Revealers,4418.8,5.78
1,80,TRUE,Concealers,5221.58,6.08
1,80,TRUE,Revealers,4002.76,5.64
1,81,TRUE,Concealers,7599.62,7.58
1,81,TRUE,Revealers,6045,6.62
1,82,TRUE,Concealers,7356.28,7.26
1,82,TRUE,Revealers,5665,6.5
1,83,TRUE,Concealers,5450.8,6.32
1,83,TRUE,Revealers,5863.1,6.6
1,84,TRUE,Concealers,7032.54,7.22
1,84,TRUE,Revealers,4766.26,6.14
1,85,TRUE,Concealers,6430.76,6.96
1,85,TRUE,Revealers,6022.78,6.66
1,86,TRUE,Concealers,6974.62,7.34
1,86,TRUE,Revealers,7528,7.38
1,87,TRUE,Concealers,6540.7,6.78
