Experiment,Simulation,ID,Sex,ftype,mate_value,male_promiscuity,num_matings,num_unique_mates,mate_switching,prop_mate_switching
1,1,0,female,1,52.68792255,NA,7125,72,335,0.047017544
1,1,1,female,1,50.23739142,NA,7610,62,535,0.070302234
1,1,2,female,1,67.17941234,NA,7941,58,721,0.09079461
1,1,3,female,1,45.53958997,NA,8852,38,90,0.010167194
1,1,4,female,1,51.81703113,NA,8859,52,179,0.020205441
1,1,5,female,1,45.00605029,NA,7029,66,322,0.045810215
1,1,6,female,1,46.45226771,NA,8093,48,778,0.09613246
1,1,7,female,1,50.73568753,NA,7008,62,420,0.059931507
1,1,8,female,1,68.13284998,NA,6891,76,2846,0.413002467
1,1,9,female,1,38.05083193,NA,8140,50,159,0.01953317
1,1,10,female,1,63.38917674,NA,7980,50,552,0.069172932
1,1,11,female,1,45.05678765,NA,7506,57,158,0.021049827
1,1,12,female,1,66.63888263,NA,6575,69,1367,0.207908745
1,1,13,female,1,54.30646321,NA,6151,60,969,0.15753536
1,1,14,female,1,64.73938985,NA,7688,66,305,0.039672216
1,1,15,female,1,52.16023514,NA,6839,60,494,0.072232783
1,1,16,female,1,44.12311758,NA,7003,57,146,0.020848208
1,1,17,female,1,45.0900317,NA,7228,59,252,0.034864416
1,1,18,female,1,50.59647361,NA,6551,42,147,0.022439322
1,1,19,female,1,41.66844256,NA,7279,68,371,0.05096854
1,1,20,female,1,48.76070337,NA,5899,60,238,0.040345821
1,1,21,female,1,51.91033555,NA,8875,46,114,0.01284507
1,1,22,female,1,24.61372137,NA,7607,40,464,0.060996451
1,1,23,female,1,55.83108741,NA,8428,63,244,0.028951115
1,1,24,female,1,44.84346172,NA,7815,66,553,0.070761356
1,1,25,female,1,42.48175913,NA,6932,60,242,0.03491056
1,1,26,female,1,51.31138807,NA,7209,51,228,0.031627133
1,1,27,female,1,47.52869405,NA,8118,56,160,0.019709288
1,1,28,female,1,44.83360962,NA,8160,57,166,0.020343137
1,1,29,female,1,43.64035068,NA,8606,58,148,0.017197304
1,1,30,female,1,32.99963607,NA,9199,37,77,0.008370475
1,1,31,female,1,36.33814227,NA,7945,48,373,0.046947766
1,1,32,female,1,51.12209795,NA,7619,50,183,0.0240189
1,1,33,female,1,52.97908497,NA,8009,47,216,0.026969659
1,1,34,female,1,47.45948483,NA,8714,42,118,0.013541428
1,1,35,female,1,64.50841323,NA,8173,59,444,0.054325217
1,1,36,female,1,68.25575229,NA,3638,96,2204,0.605827378
1,1,37,female,1,42.22119745,NA,8778,48,423,0.048188653
1,1,38,female,1,54.58003577,NA,7721,58,248,0.032120192
1,1,39,female,1,62.60122652,NA,8585,53,375,0.043680839
1,1,40,female,1,60.1448882,NA,8456,57,428,0.050614948
1,1,41,female,1,56.055898,NA,7858,68,277,0.0352507
1,1,42,female,1,63.53109602,NA,7994,61,481,0.060170128
1,1,43,female,1,34.38028794,NA,5545,54,230,0.04147881
1,1,44,female,1,47.07165388,NA,8186,51,129,0.015758612
1,1,45,female,1,56.32626825,NA,8612,45,106,0.012308407
1,1,46,female,1,39.67567684,NA,7612,56,253,0.033236994
1,1,47,female,1,51.39097234,NA,7640,54,275,0.035994764
1,1,48,female,1,43.67875558,NA,8628,50,125,0.014487714
1,1,49,female,1,49.4542434,NA,7724,45,145,0.018772657
1,1,50,female,0,38.40317338,NA,8469,44,212,0.025032471
1,1,51,female,0,55.77714859,NA,8812,49,259,0.029391739
1,1,52,female,0,65.43762721,NA,6810,71,1771,0.260058737
1,1,53,female,0,54.3436931,NA,8665,48,130,0.015002885
1,1,54,female,0,56.78341083,NA,8981,41,502,0.05589578
1,1,55,female,0,48.20344764,NA,8307,53,206,0.024798363
1,1,56,female,0,51.30505679,NA,6671,59,219,0.032828661
1,1,57,female,0,46.07182067,NA,8252,45,364,0.044110519
1,1,58,female,0,55.58427394,NA,8189,61,194,0.023690316
1,1,59,female,0,47.65943583,NA,8718,52,338,0.03877036
1,1,60,female,0,46.1569816,NA,7956,35,86,0.010809452
1,1,61,female,0,41.63073616,NA,8504,47,151,0.01775635
1,1,62,female,0,54.82141362,NA,8080,57,135,0.016707921
1,1,63,female,0,48.74891924,NA,7831,57,178,0.022730175
1,1,64,female,0,66.64178148,NA,8368,59,765,0.091419694
1,1,65,female,0,50.83819206,NA,7020,48,327,0.046581197
1,1,66,female,0,55.07973879,NA,8636,50,164,0.018990273
1,1,67,female,0,55.16657434,NA,8514,48,157,0.018440216
1,1,68,female,0,34.70328435,NA,7466,49,147,0.019689258
1,1,69,female,0,39.48189389,NA,9258,38,148,0.015986174
1,1,70,female,0,66.84046003,NA,7901,55,1532,0.193899506
1,1,71,female,0,41.62071788,NA,6755,46,159,0.02353812
1,1,72,female,0,46.38613241,NA,7134,54,196,0.027474068
1,1,73,female,0,44.57818373,NA,8091,55,365,0.045111853
1,1,74,female,0,49.64130965,NA,8586,51,390,0.045422781
1,1,75,female,0,53.18716006,NA,6062,74,668,0.110194655
1,1,76,female,0,42.45331214,NA,8873,37,71,0.008001803
1,1,77,female,0,53.08871542,NA,8113,39,148,0.018242327
1,1,78,female,0,54.51855719,NA,8525,53,230,0.026979472
1,1,79,female,0,37.58395471,NA,7330,60,278,0.03792633
1,1,80,female,0,56.72462194,NA,7500,58,226,0.030133333
1,1,81,female,0,34.29723532,NA,7343,65,767,0.104453221
1,1,82,female,0,56.26757992,NA,8016,47,342,0.042664671
1,1,83,female,0,49.02360376,NA,7830,49,450,0.057471264
1,1,84,female,0,51.74011216,NA,7467,57,247,0.03307888
1,1,85,female,0,37.04462813,NA,7782,43,210,0.026985351
1,1,86,female,0,51.43652312,NA,8091,65,174,0.021505376
1,1,87,female,0,47.89721796,NA,8308,36,197,0.023712085
1,1,88,female,0,57.60247519,NA,8256,57,210,0.025436047
