Experiment,Run,Decrement,Strategy,PI,RS
1,1,FALSE,Concealers,5193.02,6.3
1,1,FALSE,Revealers,6941.36,7.02
1,2,FALSE,Concealers,4601.98,5.96
1,2,FALSE,Revealers,6182.8,6.6
1,3,FALSE,Concealers,6869.02,7.02
1,3,FALSE,Revealers,7614.42,7.48
1,4,FALSE,Concealers,5942.14,6.46
1,4,FALSE,Revealers,4980.4,6.14
1,5,FALSE,Concealers,7621.94,7.44
1,5,FALSE,Revealers,5718.94,6.66
1,6,FALSE,Concealers,6130.3,6.64
1,6,FALSE,Revealers,5749.48,6.52
1,7,FALSE,Concealers,3870.02,5.56
1,7,FALSE,Revealers,5814.28,6.32
1,8,FALSE,Concealers,5462.14,6.42
1,8,FALSE,Revealers,6391.56,6.94
1,9,FALSE,Concealers,4639.68,5.92
1,9,FALSE,Revealers,5704.14,6.48
1,10,FALSE,Concealers,4559.82,6
1,10,FALSE,Revealers,5913.06,6.42
1,11,FALSE,Concealers,8106.72,7.56
1,11,FALSE,Revealers,5776.18,6.62
1,12,FALSE,Concealers,5209.7,5.98
1,12,FALSE,Revealers,4515.84,5.94
1,13,FALSE,Concealers,4679.2,5.92
1,13,FALSE,Revealers,6567.32,6.9
1,14,FALSE,Concealers,4651.42,5.98
1,14,FALSE,Revealers,7543.84,7.34
1,15,FALSE,Concealers,7495.02,7.44
1,15,FALSE,Revealers,7263.8,7.32
1,16,FALSE,Concealers,7179.26,7.12
1,16,FALSE,Revealers,4433.46,5.96
1,17,FALSE,Concealers,6152.9,6.7
1,17,FALSE,Revealers,6184.82,6.72
1,18,FALSE,Concealers,6039.16,6.3
1,18,FALSE,Revealers,4337.44,5.82
1,19,FALSE,Concealers,5670.68,6.52
1,19,FALSE,Revealers,6785.72,7.06
1,20,FALSE,Concealers,4963.64,6.22
1,20,FALSE,Revealers,6911.12,7.06
1,21,FALSE,Concealers,5238.46,6.28
1,21,FALSE,Revealers,6477.86,6.78
1,22,FALSE,Concealers,6122.14,6.62
1,22,FALSE,Revealers,5409.08,6.36
1,23,FALSE,Concealers,6956.38,7.12
1,23,FALSE,Revealers,6211.72,6.76
1,24,FALSE,Concealers,7253.2,7.32
1,24,FALSE,Revealers,7173.04,7.26
1,25,FALSE,Concealers,7585.02,7.44
1,25,FALSE,Revealers,5125.32,6.28
1,26,FALSE,Concealers,5323.48,6.32
1,26,FALSE,Revealers,6188.24,6.74
1,27,FALSE,Concealers,6135.4,6.74
1,27,FALSE,Revealers,5393.8,6.36
1,28,FALSE,Concealers,6570.16,7
1,28,FALSE,Revealers,6844.1,7.24
1,29,FALSE,Concealers,6551.92,6.9
1,29,FALSE,Revealers,5839.06,6.54
1,30,FALSE,Concealers,3218.68,5.18
1,30,FALSE,Revealers,5303.86,5.9
1,31,FALSE,Concealers,7002.78,7.1
1,31,FALSE,Revealers,5674.98,6.56
1,32,FALSE,Concealers,3995.64,5.62
1,32,FALSE,Revealers,6699.48,6.98
1,33,FALSE,Concealers,4968.22,6.08
1,33,FALSE,Revealers,7274.62,7.22
1,34,FALSE,Concealers,7643.86,7.46
1,34,FALSE,Revealers,5965.64,6.74
1,35,FALSE,Concealers,5557.72,6.24
1,35,FALSE,Revealers,3565.56,5.32
1,36,FALSE,Concealers,7002.74,7.14
1,36,FALSE,Revealers,5067.36,6.14
1,37,FALSE,Concealers,5526.44,6.42
1,37,FALSE,Revealers,6665.28,7.04
1,38,FALSE,Concealers,4902.18,6.32
1,38,FALSE,Revealers,7166.44,7.16
1,39,FALSE,Concealers,5496.72,6.48
1,39,FALSE,Revealers,6272.86,6.84
1,40,FALSE,Concealers,7142.44,7.22
1,40,FALSE,Revealers,6460.48,6.92
1,41,FALSE,Concealers,6774.56,7
1,41,FALSE,Revealers,7575.24,7.38
1,42,FALSE,Concealers,5971.8,6.64
1,42,FALSE,Revealers,5534.1,6.52
1,43,FALSE,Concealers,6224.76,6.84
1,43,FALSE,Revealers,7845.76,7.58
1,44,FALSE,Concealers,4530.62,5.94
1,44,FALSE,Revealers,6950.96,7.14
1,45,FALSE,Concealers,5386.58,6.4
1,45,FALSE,Revealers,6941.7,7.18
1,46,FALSE,Concealers,5215.56,6.32
1,46,FALSE,Revealers,5851.34,6.28
1,47,FALSE,Concealers,6593.12,6.8
1,47,FALSE,Revealers,4314.82,5.84
1,48,FALSE,Concealers,5791.84,6.54
1,48,FALSE,Revealers,5580.48,6.44
1,49,FALSE,Concealers,6273.14,6.7
1,49,FALSE,Revealers,4927.56,6.16
1,50,FALSE,Concealers,6019.34,6.62
1,50,FALSE,Revealers,8063.4,7.62
1,51,FALSE,Concealers,6137.94,6.76
1,51,FALSE,Revealers,7272.08,7.26
1,52,FALSE,Concealers,5945.82,6.64
1,52,FALSE,Revealers,6712.54,7.16
1,53,FALSE,Concealers,4479.42,5.96
1,53,FALSE,Revealers,6348.52,6.74
1,54,FALSE,Concealers,5703.2,6.48
1,54,FALSE,Revealers,6170.92,6.66
1,55,FALSE,Concealers,7089.86,7.26
1,55,FALSE,Revealers,5899.34,6.66
1,56,FALSE,Concealers,6850.28,7.08
1,56,FALSE,Revealers,7319.9,7.3
1,57,FALSE,Concealers,5528.28,6.48
1,57,FALSE,Revealers,7471.8,7.42
1,58,FALSE,Concealers,6585.08,6.74
1,58,FALSE,Revealers,3932.3,5.64
1,59,FALSE,Concealers,4470.42,5.96
1,59,FALSE,Revealers,6985.82,7.08
1,60,FALSE,Concealers,4110.2,5.66
1,60,FALSE,Revealers,6663.44,6.88
1,61,FALSE,Concealers,5804.06,6.6
1,61,FALSE,Revealers,6434.9,6.82
1,62,FALSE,Concealers,4874.14,6.12
1,62,FALSE,Revealers,6502.04,6.74
1,63,FALSE,Concealers,6385.9,6.88
1,63,FALSE,Revealers,5889.9,6.66
1,64,FALSE,Concealers,6136.48,6.82
1,64,FALSE,Revealers,6311.44,6.8
1,65,FALSE,Concealers,5141.2,6.28
1,65,FALSE,Revealers,6093.74,6.6
1,66,FALSE,Concealers,5726.16,6.42
1,66,FALSE,Revealers,5530.44,6.48
1,67,FALSE,Concealers,6134.6,6.76
1,67,FALSE,Revealers,6046.46,6.64
1,68,FALSE,Concealers,6888.16,7.1
1,68,FALSE,Revealers,7155.64,7.28
1,69,FALSE,Concealers,6423.14,6.92
1,69,FALSE,Revealers,7300.48,7.3
1,70,FALSE,Concealers,6033.94,6.58
1,70,FALSE,Revealers,7206.66,7.18
1,71,FALSE,Concealers,6911.06,7.16
1,71,FALSE,Revealers,7526.52,7.36
1,72,FALSE,Concealers,6499.8,6.82
1,72,FALSE,Revealers,6042.78,6.72
1,73,FALSE,Concealers,6672.4,6.84
1,73,FALSE,Revealers,4832.2,6.08
1,74,FALSE,Concealers,6344.78,6.9
1,74,FALSE,Revealers,6161.06,6.76
1,75,FALSE,Concealers,4064.52,5.72
1,75,FALSE,Revealers,5591.18,6.3
1,76,FALSE,Concealers,7700.3,7.5
1,76,FALSE,Revealers,7107.38,7.3
1,77,FALSE,Concealers,5737.22,6.52
1,77,FALSE,Revealers,7178.64,7.1
1,78,FALSE,Concealers,5027.28,6.2
1,78,FALSE,Revealers,7042.32,6.96
1,79,FALSE,Concealers,4913.46,6.04
1,79,FALSE,Revealers,6855.38,7.1
1,80,FALSE,Concealers,4907.46,6
1,80,FALSE,Revealers,4645.92,5.86
1,81,FALSE,Concealers,6177.54,6.68
1,81,FALSE,Revealers,7045.84,7.2
1,82,FALSE,Concealers,5977.5,6.62
1,82,FALSE,Revealers,4073.96,5.7
1,83,FALSE,Concealers,5548.18,6.34
1,83,FALSE,Revealers,5562.04,6.48
1,84,FALSE,Concealers,5810.88,6.52
1,84,FALSE,Revealers,7031.24,7.12
1,85,FALSE,Concealers,6817.6,7.12
1,85,FALSE,Revealers,7078.34,7.22
1,86,FALSE,Concealers,6501.48,6.56
1,86,FALSE,Revealers,4415.3,5.98
1,87,FALSE,Concealers,4735.46,6
1,87,FALSE,Revealers,6615,6.84
1,88,FALSE,Concealers,4675.3,6
1,88,FALSE,Revealers,6058.98,6.62
1,89,FALSE,Concealers,4421.98,5.96
1,89,FALSE,Revealers,7409.3,7.36
1,90,FALSE,Concealers,4441.38,5.82
1,90,FALSE,Revealers,7128.32,7.08
1,91,FALSE,Concealers,6832.36,7.04
1,91,FALSE,Revealers,6263.12,6.72
1,92,FALSE,Concealers,5618.3,6.6
1,92,FALSE,Revealers,7894.5,7.64
1,93,FALSE,Concealers,7753.34,7.38
