Run,prop_conceal,Strategy,PI,RS
1,1,Concealers,4912.5,5.91
2,1,Concealers,5895.46,6.48
3,1,Concealers,5368.02,6.23
4,1,Concealers,4466.15,5.84
5,1,Concealers,6698.72,7.06
6,1,Concealers,3738.01,5.2
7,1,Concealers,4766.47,5.81
8,1,Concealers,6641.24,6.97
9,1,Concealers,5183.24,6.18
10,1,Concealers,6370.44,6.67
11,1,Concealers,7337.45,7.38
12,1,Concealers,7001.01,7.17
13,1,Concealers,5292.93,6.33
14,1,Concealers,5702.74,6.46
15,1,Concealers,5864.36,6.58
16,1,Concealers,5528.25,6.37
17,1,Concealers,6956.85,7.15
18,1,Concealers,6467.23,6.82
19,1,Concealers,5158.52,6.19
20,1,Concealers,4695.43,5.85
21,0.8,Concealers,5205.7,6.1125
22,0.8,Concealers,6480.0125,6.825
23,0.8,Concealers,6805.5625,7.1
24,0.8,Concealers,5263.5375,6.1875
25,0.8,Concealers,6124.5875,6.725
26,0.8,Concealers,6404.75,6.95
27,0.8,Concealers,6180.45,6.6
28,0.8,Concealers,5247.325,6.0875
29,0.8,Concealers,6597.525,7.0375
30,0.8,Concealers,5500.5875,6.3125
31,0.8,Concealers,5883.85,6.5125
32,0.8,Concealers,6535.3,6.875
33,0.8,Concealers,5247.0375,6.175
34,0.8,Concealers,6108.85,6.7125
35,0.8,Concealers,7270,7.2875
36,0.8,Concealers,6771.1,7.0375
37,0.8,Concealers,6883.55,7.075
38,0.8,Concealers,7281.1375,7.3
39,0.8,Concealers,6755.2375,7.05
40,0.8,Concealers,7078.925,7.1875
41,0.6,Concealers,5433.533333,6.2
42,0.6,Concealers,7639.416667,7.5
43,0.6,Concealers,8268.416667,7.833333333
44,0.6,Concealers,8060.183333,7.583333333
45,0.6,Concealers,7468.766667,7.35
46,0.6,Concealers,8426.816667,7.816666667
47,0.6,Concealers,7523.483333,7.4
48,0.6,Concealers,6466.883333,6.7
49,0.6,Concealers,7055.666667,7.25
50,0.6,Concealers,6165.65,6.65
51,0.6,Concealers,7701.85,7.433333333
52,0.6,Concealers,8335.833333,7.75
53,0.6,Concealers,7432.616667,7.35
54,0.6,Concealers,7311.983333,7.35
55,0.6,Concealers,5763.9,6.483333333
56,0.6,Concealers,7473.533333,7.466666667
57,0.6,Concealers,7013.033333,7.016666667
58,0.6,Concealers,7926.466667,7.7
59,0.6,Concealers,6099.866667,6.733333333
60,0.6,Concealers,7941.833333,7.5
61,0.4,Concealers,6298.4,6.625
62,0.4,Concealers,9641.65,8.45
63,0.4,Concealers,7815.5,7.475
64,0.4,Concealers,7889.025,7.725
65,0.4,Concealers,8401.125,7.85
66,0.4,Concealers,7584.925,7.45
67,0.4,Concealers,8749.05,8.05
68,0.4,Concealers,9228.425,8.2
69,0.4,Concealers,8134.25,7.65
70,0.4,Concealers,9456.075,8.325
71,0.4,Concealers,7916.925,7.55
72,0.4,Concealers,7783.275,7.45
73,0.4,Concealers,7640.65,7.35
74,0.4,Concealers,9341.2,8.25
75,0.4,Concealers,7237.65,7.225
76,0.4,Concealers,7455.9,7.425
77,0.4,Concealers,6840.125,7.05
78,0.4,Concealers,8706.45,8.1
79,0.4,Concealers,6618.9,6.9
80,0.4,Concealers,9165.15,8.225
81,0.2,Concealers,9605.6,8.4
82,0.2,Concealers,8560.55,7.5
83,0.2,Concealers,9628.45,8.35
84,0.2,Concealers,9740.8,8.45
85,0.2,Concealers,8103.5,7.6
86,0.2,Concealers,9582.85,8.5
87,0.2,Concealers,8019.3,7.7
88,0.2,Concealers,9569.25,8.45
89,0.2,Concealers,8791.7,8
90,0.2,Concealers,9891.8,8.55
91,0.2,Concealers,8265.2,7.35
92,0.2,Concealers,8992.25,8.35
93,0.2,Concealers,8646.1,8
94,0.2,Concealers,10742.3,8.8
95,0.2,Concealers,9161.95,8.35
96,0.2,Concealers,8110.55,7.75
97,0.2,Concealers,10248.6,8.75
98,0.2,Concealers,9285.25,7.95
99,0.2,Concealers,9747.85,8.55
100,0.2,Concealers,8896.3,8.1
101,0,Concealers,0,0
102,0,Concealers,0,0
103,0,Concealers,0,0
104,0,Concealers,0,0
105,0,Concealers,0,0
106,0,Concealers,0,0
107,0,Concealers,0,0
108,0,Concealers,0,0
109,0,Concealers,0,0
110,0,Concealers,0,0
111,0,Concealers,0,0
112,0,Concealers,0,0
113,0,Concealers,0,0
114,0,Concealers,0,0
115,0,Concealers,0,0
116,0,Concealers,0,0
117,0,Concealers,0,0
118,0,Concealers,0,0
119,0,Concealers,0,0
120,0,Concealers,0,0
1,1,Revealers,0,0
2,1,Revealers,0,0
3,1,Revealers,0,0
4,1,Revealers,0,0
5,1,Revealers,0,0
6,1,Revealers,0,0
7,1,Revealers,0,0
8,1,Revealers,0,0
9,1,Revealers,0,0
10,1,Revealers,0,0
11,1,Revealers,0,0
12,1,Revealers,0,0
13,1,Revealers,0,0
14,1,Revealers,0,0
15,1,Revealers,0,0
16,1,Revealers,0,0
17,1,Revealers,0,0
18,1,Revealers,0,0
19,1,Revealers,0,0
20,1,Revealers,0,0
21,0.8,Revealers,4508.5,5.8
22,0.8,Revealers,4464.75,5.85
23,0.8,Revealers,6468.5,6.9
24,0.8,Revealers,5134.9,6.1
25,0.8,Revealers,5571.65,6.45
26,0.8,Revealers,5434.65,6.4
27,0.8,Revealers,4546.9,6.05
28,0.8,Revealers,3958.1,5.5
29,0.8,Revealers,6310.25,6.65
30,0.8,Revealers,3230.9,5.45
31,0.8,Revealers,5730.55,6.4
32,0.8,Revealers,5222.05,6.35
33,0.8,Revealers,3495.85,5.25
34,0.8,Revealers,4541.95,5.9
35,0.8,Revealers,5166.65,6.25
36,0.8,Revealers,4592.9,6.15
37,0.8,Revealers,6859.75,7.25
38,0.8,Revealers,4689,6.1
39,0.8,Revealers,5873.7,6.7
40,0.8,Revealers,6146.05,6.8
41,0.6,Revealers,4377.025,5.85
42,0.6,Revealers,5814.875,6.675
43,0.6,Revealers,5435.2,6.625
44,0.6,Revealers,5581.975,6.525
45,0.6,Revealers,4908.65,6.075
46,0.6,Revealers,6593.675,7.05
47,0.6,Revealers,6884.75,7.225
48,0.6,Revealers,4781.4,6
49,0.6,Revealers,5995.725,6.775
50,0.6,Revealers,4276.3,5.925
51,0.6,Revealers,6533.675,6.975
52,0.6,Revealers,5835.875,6.65
53,0.6,Revealers,6001.7,6.675
54,0.6,Revealers,6042.2,6.7
55,0.6,Revealers,4126.8,5.75
56,0.6,Revealers,5941.2,6.475
57,0.6,Revealers,5016.8,6.025
58,0.6,Revealers,6410.65,6.9
59,0.6,Revealers,4513.875,6
60,0.6,Revealers,5178.725,6.375
61,0.4,Revealers,4227.75,5.733333333
62,0.4,Revealers,5344.95,6.316666667
63,0.4,Revealers,5724.266667,6.633333333
64,0.4,Revealers,7071.6,7.183333333
65,0.4,Revealers,5802.75,6.583333333
66,0.4,Revealers,5745.966667,6.55
67,0.4,Revealers,7143.65,7.316666667
68,0.4,Revealers,6218.95,6.883333333
69,0.4,Revealers,5586.116667,6.45
70,0.4,Revealers,5640,6.533333333
71,0.4,Revealers,7096.816667,7.183333333
72,0.4,Revealers,5660.6,6.466666667
73,0.4,Revealers,4982.866667,6.15
74,0.4,Revealers,6218.9,6.733333333
75,0.4,Revealers,5440.633333,6.5
76,0.4,Revealers,5412.766667,6.35
77,0.4,Revealers,5115.6,6.366666667
78,0.4,Revealers,5890.45,6.6
79,0.4,Revealers,4900.566667,6.166666667
80,0.4,Revealers,6178.2,6.75
81,0.2,Revealers,5966.425,6.75
82,0.2,Revealers,4412.175,5.8375
83,0.2,Revealers,6494.075,6.875
84,0.2,Revealers,6730.4875,7
85,0.2,Revealers,7552.5,7.4375
86,0.2,Revealers,6533.0625,6.975
87,0.2,Revealers,6441.5625,6.975
88,0.2,Revealers,7034.425,7.175
89,0.2,Revealers,6602.4,6.95
90,0.2,Revealers,6156.3625,6.8
91,0.2,Revealers,5399.2875,6.3625
92,0.2,Revealers,6795.875,7.075
93,0.2,Revealers,6722.175,7.0875
94,0.2,Revealers,7027.6125,7.15
95,0.2,Revealers,5847.95,6.6375
96,0.2,Revealers,7428.4875,7.2625
97,0.2,Revealers,6628.1875,6.975
98,0.2,Revealers,4678.7375,6.0125
99,0.2,Revealers,6198.8875,6.8125
100,0.2,Revealers,6114.125,6.725
101,0,Revealers,7337.07,7.31
102,0,Revealers,7278.26,7.32
103,0,Revealers,7638.87,7.51
104,0,Revealers,7544.66,7.49
105,0,Revealers,7842.71,7.66
106,0,Revealers,7306.55,7.31
107,0,Revealers,7293.09,7.39
108,0,Revealers,7159.76,7.27
109,0,Revealers,6977.13,7.13
110,0,Revealers,7350.31,7.35
111,0,Revealers,7610.81,7.45
112,0,Revealers,7147.97,7.22
113,0,Revealers,7142.29,7.22
114,0,Revealers,7446.85,7.38
115,0,Revealers,7733.05,7.64
116,0,Revealers,7854.65,7.63
117,0,Revealers,7713.14,7.56
118,0,Revealers,7152.84,7.21
119,0,Revealers,6669.27,7.11
120,0,Revealers,7223.39,7.35
