Run,Sens,Strategy,PI,RS
1,11,Concealers,6902.24,6.98
1,11,Revealers,4144.72,6.32
2,11,Concealers,9868.16,9.02
2,11,Revealers,6503.66,7.46
3,11,Concealers,7523.78,6.98
3,11,Revealers,3206.5,5.76
4,11,Concealers,8703.38,8.38
4,11,Revealers,5747.16,7.14
5,11,Concealers,8768.96,8.22
5,11,Revealers,4810.56,6.66
6,11,Concealers,6663.36,6.68
6,11,Revealers,3477.5,5.84
7,11,Concealers,7374.48,7.36
7,11,Revealers,3923.16,6.2
8,11,Concealers,6927.76,6.86
8,11,Revealers,3188.16,5.68
9,11,Concealers,6554.6,6.16
9,11,Revealers,2606.36,5.44
10,11,Concealers,7258.1,7.82
10,11,Revealers,8168.26,8.24
11,11,Concealers,7621.16,6.9
11,11,Revealers,2749.22,5.5
12,11,Concealers,8751.52,8.56
12,11,Revealers,7146.86,7.84
13,11,Concealers,8063.3,8.26
13,11,Revealers,7075.7,7.74
14,11,Concealers,7417.98,6.88
14,11,Revealers,2076.76,5.18
15,11,Concealers,8216.94,8.3
15,11,Revealers,7700.88,8.08
16,11,Concealers,7326.82,7.62
16,11,Revealers,6394.64,7.4
17,11,Concealers,8115.4,8.26
17,11,Revealers,6798.32,7.62
18,11,Concealers,7577.32,7.6
18,11,Revealers,4071.12,6.28
19,11,Concealers,8162.5,8.26
19,11,Revealers,7881.84,8.18
20,11,Concealers,7721.04,7.22
20,11,Revealers,2653.16,5.48
121,21,Concealers,5755.5,6.2
121,21,Revealers,3421.86,5.24
122,21,Concealers,7851.24,7.44
122,21,Revealers,6043.54,6.74
123,21,Concealers,8287.14,7.8
123,21,Revealers,6216.16,6.72
124,21,Concealers,8364.02,7.78
124,21,Revealers,6009.32,6.68
125,21,Concealers,7702.48,7.52
125,21,Revealers,5675.12,6.56
126,21,Concealers,7508.16,7.54
126,21,Revealers,5998.36,6.64
127,21,Concealers,6244.36,6.6
127,21,Revealers,5048.44,6.26
128,21,Concealers,7453.82,7.42
128,21,Revealers,5453.14,6.38
129,21,Concealers,7169.06,7.12
129,21,Revealers,4970.54,6.1
130,21,Concealers,6207.02,6.52
130,21,Revealers,4593.2,5.96
131,21,Concealers,6957.64,7.14
131,21,Revealers,5757.94,6.5
132,21,Concealers,7364.94,7.3
132,21,Revealers,5512.36,6.48
133,21,Concealers,7043.3,7.14
133,21,Revealers,4804.5,6.18
134,21,Concealers,6539.74,6.8
134,21,Revealers,4186.32,5.8
135,21,Concealers,7952.02,7.7
135,21,Revealers,6396.48,6.86
136,21,Concealers,8296.76,7.74
136,21,Revealers,5501.32,6.38
137,21,Concealers,7085.22,7.12
137,21,Revealers,5588.56,6.52
138,21,Concealers,7984.66,7.64
138,21,Revealers,5683.24,6.6
139,21,Concealers,7011.84,7.08
139,21,Revealers,4370.84,5.92
140,21,Concealers,7412.62,7.32
140,21,Revealers,4981.2,6.2
241,31,Concealers,7107.44,6.64
241,31,Revealers,5438.72,5.86
242,31,Concealers,7295.7,6.74
242,31,Revealers,5460.3,5.82
243,31,Concealers,6795.06,6.48
243,31,Revealers,4963.6,5.58
244,31,Concealers,7128.42,6.62
244,31,Revealers,5717.02,6.1
245,31,Concealers,7227.5,6.84
245,31,Revealers,5077.06,5.7
246,31,Concealers,7340.5,6.84
246,31,Revealers,5633.04,5.94
247,31,Concealers,7296.26,6.82
247,31,Revealers,5059.06,5.66
248,31,Concealers,7840.54,7.14
248,31,Revealers,6064.34,6.16
249,31,Concealers,6852.76,6.6
249,31,Revealers,5060.48,5.62
250,31,Concealers,6949.72,6.66
250,31,Revealers,4232.48,5.14
251,31,Concealers,6847.42,6.48
251,31,Revealers,4020.24,4.94
252,31,Concealers,6950.04,6.74
252,31,Revealers,5346.74,5.8
253,31,Concealers,7613.88,7.02
253,31,Revealers,5297,5.72
254,31,Concealers,7340.98,6.84
254,31,Revealers,6045.86,6.2
255,31,Concealers,6762.88,6.54
255,31,Revealers,4621.68,5.56
256,31,Concealers,7485.2,6.76
256,31,Revealers,5442.5,5.96
257,31,Concealers,7012.66,6.78
257,31,Revealers,5366.92,5.98
258,31,Concealers,6646.64,6.48
258,31,Revealers,5528.36,5.92
259,31,Concealers,6541.98,6.32
259,31,Revealers,5495.28,6.06
260,31,Concealers,6985.1,6.82
260,31,Revealers,5290.64,5.74
361,41,Concealers,7480.12,6.6
361,41,Revealers,4863.12,5.24
362,41,Concealers,7316.24,6.12
