Run,Sens,Strategy,PI,RS
1,1,Concealers,0,0
1,1,Revealers,0,0
2,1,Concealers,0,0
2,1,Revealers,0,0
3,1,Concealers,0,0
3,1,Revealers,0,0
4,1,Concealers,0,0
4,1,Revealers,0,0
5,1,Concealers,0,0
5,1,Revealers,0,0
6,1,Concealers,0,0
6,1,Revealers,0,0
7,1,Concealers,0,0
7,1,Revealers,0,0
8,1,Concealers,0,0
8,1,Revealers,0,0
9,1,Concealers,0,0
9,1,Revealers,0,0
10,1,Concealers,0,0
10,1,Revealers,0,0
11,1,Concealers,0,0
11,1,Revealers,0,0
12,1,Concealers,0,0
12,1,Revealers,0,0
13,1,Concealers,0,0
13,1,Revealers,0,0
14,1,Concealers,0,0
14,1,Revealers,0,0
15,1,Concealers,0,0
15,1,Revealers,0,0
16,1,Concealers,0,0
16,1,Revealers,0,0
17,1,Concealers,0,0
17,1,Revealers,0,0
18,1,Concealers,0,0
18,1,Revealers,0,0
19,1,Concealers,0,0
19,1,Revealers,0,0
20,1,Concealers,0,0
20,1,Revealers,0,0
21,0.75,Concealers,2944.506667,5.24
21,0.75,Revealers,2827.093333,5.106666667
22,0.75,Concealers,3056.013333,5.173333333
22,0.75,Revealers,2859.773333,5.013333333
23,0.75,Concealers,2772.173333,5.16
23,0.75,Revealers,2287,4.906666667
24,0.75,Concealers,2887.906667,5.133333333
24,0.75,Revealers,2592.68,5.133333333
25,0.75,Concealers,2534.12,5
25,0.75,Revealers,2162.933333,4.92
26,0.75,Concealers,2462.44,5
26,0.75,Revealers,2228.48,4.866666667
27,0.75,Concealers,2773.173333,5.2
27,0.75,Revealers,2534.133333,5.013333333
28,0.75,Concealers,2653.96,5.013333333
28,0.75,Revealers,2430.52,4.92
29,0.75,Concealers,2900.146667,5.253333333
29,0.75,Revealers,2562.666667,4.973333333
30,0.75,Concealers,2812.76,5.213333333
30,0.75,Revealers,2661.026667,5.093333333
31,0.75,Concealers,2933.106667,5.2
31,0.75,Revealers,2582.533333,5.026666667
32,0.75,Concealers,2415.946667,4.906666667
32,0.75,Revealers,2120.48,4.76
33,0.75,Concealers,2884.146667,5.213333333
33,0.75,Revealers,2574.786667,5.133333333
34,0.75,Concealers,2746.96,5.133333333
34,0.75,Revealers,2320.106667,4.906666667
35,0.75,Concealers,2715.613333,5.213333333
35,0.75,Revealers,2379.226667,4.92
36,0.75,Concealers,2780.653333,5.133333333
36,0.75,Revealers,2500.786667,4.973333333
37,0.75,Concealers,2852.84,5.133333333
37,0.75,Revealers,2422.28,4.92
38,0.75,Concealers,2834.026667,5.24
38,0.75,Revealers,2659.666667,5.053333333
39,0.75,Concealers,3068.466667,5.266666667
39,0.75,Revealers,2644.946667,5.08
40,0.75,Concealers,2569.733333,4.88
40,0.75,Revealers,2126.693333,4.706666667
41,0.5,Concealers,7747.8,7.58
41,0.5,Revealers,7129.38,7.08
42,0.5,Concealers,7100.16,7.18
42,0.5,Revealers,6127.96,6.8
43,0.5,Concealers,7280.68,7.18
43,0.5,Revealers,4372.3,5.9
44,0.5,Concealers,7119.98,7.12
44,0.5,Revealers,4149.5,5.84
45,0.5,Concealers,7182.26,7.34
45,0.5,Revealers,6254.96,6.72
46,0.5,Concealers,6714.64,7.12
46,0.5,Revealers,5482.46,6.46
47,0.5,Concealers,8095.16,7.72
47,0.5,Revealers,6478.06,6.94
48,0.5,Concealers,6252.4,6.46
48,0.5,Revealers,4397.38,5.84
49,0.5,Concealers,6934.7,7.16
49,0.5,Revealers,5773.32,6.64
50,0.5,Concealers,8160.96,7.64
50,0.5,Revealers,5180.36,6.22
51,0.5,Concealers,7049.94,7.14
51,0.5,Revealers,5421.46,6.32
52,0.5,Concealers,8231.76,7.82
52,0.5,Revealers,6257.32,6.88
