Run,Sens,Strategy,PI,RS
1,1000,Concealers,6629.06,12.96
1,1000,Revealers,4568.84,11.2
2,1000,Concealers,5750.24,11.6
2,1000,Revealers,3682.42,10.22
3,1000,Concealers,6633.88,12.88
3,1000,Revealers,4548.32,11.2
4,1000,Concealers,5528.36,11.52
4,1000,Revealers,4230.36,10.84
5,1000,Concealers,7191.94,13.74
5,1000,Revealers,5921.34,12.54
6,1000,Concealers,6041.02,12.18
6,1000,Revealers,4413.8,10.94
7,1000,Concealers,6070.16,12.12
7,1000,Revealers,4318.86,10.72
8,1000,Concealers,6606.2,12.58
8,1000,Revealers,4269.16,10.7
9,1000,Concealers,5849.48,11.92
9,1000,Revealers,3941.44,10.56
10,1000,Concealers,5569.7,12.12
10,1000,Revealers,4131.26,10.94
11,1000,Concealers,6531.14,12.48
11,1000,Revealers,4280.84,10.9
12,1000,Concealers,5422.82,11.3
12,1000,Revealers,3813.8,10.24
13,1000,Concealers,5790.64,11.7
13,1000,Revealers,4513.58,10.9
14,1000,Concealers,5888.46,11.94
14,1000,Revealers,4059.94,10.5
15,1000,Concealers,7635.82,13.88
15,1000,Revealers,5570.32,12.22
16,1000,Concealers,5571.46,11.34
16,1000,Revealers,3839.12,10.4
17,1000,Concealers,6634.44,12.78
17,1000,Revealers,4401.58,11.04
18,1000,Concealers,5469.02,11.44
18,1000,Revealers,3842.76,10.46
19,1000,Concealers,6580.54,12.72
19,1000,Revealers,4391.86,11.06
20,1000,Concealers,6320.2,12.08
20,1000,Revealers,4202.84,10.64
21,1250,Concealers,7324.06,11.44
21,1250,Revealers,5467.56,10.02
22,1250,Concealers,7634.1,11.54
22,1250,Revealers,5972.8,10.44
23,1250,Concealers,5405.2,9.34
23,1250,Revealers,4165,8.72
24,1250,Concealers,7133.92,11.38
24,1250,Revealers,5173.62,9.78
25,1250,Concealers,7681.02,11.66
25,1250,Revealers,6789.5,10.76
26,1250,Concealers,6392.9,10.6
26,1250,Revealers,4589.28,9.22
27,1250,Concealers,6319.82,10.26
27,1250,Revealers,4519,9.28
28,1250,Concealers,6659.2,10.46
28,1250,Revealers,4447.72,9.1
29,1250,Concealers,7268.5,11.06
29,1250,Revealers,5005.14,9.62
30,1250,Concealers,5567,9.6
30,1250,Revealers,3789.92,8.52
31,1250,Concealers,6058.74,9.94
31,1250,Revealers,4063.94,8.8
32,1250,Concealers,5445.84,9.38
32,1250,Revealers,3523.78,8.28
33,1250,Concealers,5241.3,9.14
33,1250,Revealers,3846.44,8.54
34,1250,Concealers,7594.78,11.5
34,1250,Revealers,6078.64,10.56
35,1250,Concealers,7513.9,11.62
35,1250,Revealers,6693.1,10.86
36,1250,Concealers,7544.92,11.3
36,1250,Revealers,5369.8,9.98
37,1250,Concealers,7056.18,10.9
37,1250,Revealers,5112.02,9.64
38,1250,Concealers,7125.96,10.86
38,1250,Revealers,5071.44,9.6
39,1250,Concealers,7749.38,11.88
39,1250,Revealers,6575.92,10.7
40,1250,Concealers,6079.44,10.08
40,1250,Revealers,4252.94,8.98
41,1500,Concealers,7764.6,9.94
41,1500,Revealers,6689.56,9.16
42,1500,Concealers,6755.74,9.1
42,1500,Revealers,4471.72,7.76
43,1500,Concealers,6710.98,8.94
43,1500,Revealers,4348.56,7.58
44,1500,Concealers,8023.6,10.02
44,1500,Revealers,6037.94,8.88
45,1500,Concealers,6059.68,8.56
45,1500,Revealers,3931.6,7.24
46,1500,Concealers,7811.32,9.94
46,1500,Revealers,5260.84,8.14
47,1500,Concealers,6784.46,9.18
47,1500,Revealers,5097.88,8.16
48,1500,Concealers,7601.56,9.8
48,1500,Revealers,5243.18,8.4
49,1500,Concealers,5991.82,8.42
49,1500,Revealers,3864,7.34
50,1500,Concealers,7425.96,9.82
50,1500,Revealers,6047.88,8.84
51,1500,Concealers,6380.98,8.76
51,1500,Revealers,3861.06,7.44
52,1500,Concealers,7669.84,9.64
52,1500,Revealers,4366.92,7.74
53,1500,Concealers,6830.12,9.22
53,1500,Revealers,4463.88,7.66
54,1500,Concealers,7022.62,9.4
54,1500,Revealers,4830.24,8.06
55,1500,Concealers,6591.26,8.96
55,1500,Revealers,4600.44,7.84
56,1500,Concealers,7210.48,9.62
56,1500,Revealers,6138.36,9
57,1500,Concealers,7373.14,9.52
57,1500,Revealers,4692.96,7.9
58,1500,Concealers,5864.58,8.32
58,1500,Revealers,4163.52,7.38
59,1500,Concealers,5702.04,8.22
59,1500,Revealers,3429.5,7.1
60,1500,Concealers,5892.42,8.58
60,1500,Revealers,3705.7,7.18
61,1750,Concealers,5878.24,7.12
61,1750,Revealers,3319.5,5.94
62,1750,Concealers,6493.88,7.6
62,1750,Revealers,4608.56,6.78
63,1750,Concealers,6825.8,7.92
63,1750,Revealers,5034.92,7.14
64,1750,Concealers,6650,7.8
64,1750,Revealers,4420.94,6.66
65,1750,Concealers,7156.68,8.14
65,1750,Revealers,5038.2,7.08
66,1750,Concealers,6794.1,8.04
66,1750,Revealers,4370.5,6.68
67,1750,Concealers,6650.62,7.84
67,1750,Revealers,4935.46,6.98
68,1750,Concealers,7278.72,8.38
68,1750,Revealers,6511.32,7.92
69,1750,Concealers,6688.48,8.06
69,1750,Revealers,6787.48,7.98
70,1750,Concealers,7753.7,8.6
70,1750,Revealers,6258.98,7.8
71,1750,Concealers,7875.86,8.42
71,1750,Revealers,4974.24,6.92
72,1750,Concealers,7128.7,8.28
72,1750,Revealers,6640.08,8.06
