Run,Sens,Strategy,PI,RS
1,100,Concealers,7423.04,6.92
1,100,Revealers,5555.4,5.8
2,100,Concealers,7818.12,7.24
2,100,Revealers,5263.64,6
3,100,Concealers,8032.44,7.24
3,100,Revealers,4890.24,5.68
4,100,Concealers,7073.48,6.84
4,100,Revealers,4645.72,5.4
5,100,Concealers,7633.12,6.96
5,100,Revealers,5580.84,6
6,100,Concealers,8469.08,7.44
6,100,Revealers,5806.88,6.04
7,100,Concealers,7401.72,7.08
7,100,Revealers,6615.48,6.36
8,100,Concealers,8230.28,7.36
8,100,Revealers,5308.28,5.92
9,100,Concealers,7192.88,6.8
9,100,Revealers,4193.36,5.32
10,100,Concealers,7539.92,6.92
10,100,Revealers,4513.88,5.48
11,100,Concealers,6747.96,6.56
11,100,Revealers,4980.04,5.64
12,100,Concealers,7103.6,6.84
12,100,Revealers,5257.8,5.8
13,100,Concealers,9190.04,7.76
13,100,Revealers,6367.04,6.2
14,100,Concealers,8345.44,7.4
14,100,Revealers,5703.16,6.04
15,100,Concealers,6968.12,6.72
15,100,Revealers,5613.2,6.16
16,100,Concealers,7396.76,7.12
16,100,Revealers,6534.96,6.44
17,100,Concealers,7613.72,7.24
17,100,Revealers,5019.08,5.92
18,100,Concealers,7951.04,7.28
18,100,Revealers,5611.44,6.04
19,100,Concealers,6971.36,6.8
19,100,Revealers,4477.24,5.52
20,100,Concealers,7485.16,6.96
20,100,Revealers,5382.12,6.12
21,200,Concealers,8467.84,7.84
21,200,Revealers,5751.36,6.52
22,200,Concealers,7326.12,7.5
22,200,Revealers,7179.46,7.44
23,200,Concealers,8699.08,7.94
23,200,Revealers,6653.56,7.06
24,200,Concealers,6064,6.58
24,200,Revealers,4231.96,5.8
25,200,Concealers,6890.4,7.18
25,200,Revealers,6584.48,7
26,200,Concealers,8042.02,7.76
26,200,Revealers,6440.54,6.92
27,200,Concealers,7112.72,7.16
27,200,Revealers,5641.82,6.4
28,200,Concealers,7411.04,7.32
28,200,Revealers,5856.36,6.7
29,200,Concealers,6078.58,6.82
29,200,Revealers,5264.7,6.36
30,200,Concealers,8351.56,7.86
30,200,Revealers,6076.2,6.8
31,200,Concealers,6483.2,6.9
31,200,Revealers,4002.96,5.72
32,200,Concealers,7575.44,7.48
32,200,Revealers,6696.2,6.92
33,200,Concealers,7289.24,7.04
33,200,Revealers,4934.86,6.14
34,200,Concealers,8263.36,7.84
34,200,Revealers,6073.7,6.76
35,200,Concealers,7927.94,7.62
35,200,Revealers,6234.1,6.84
36,200,Concealers,7259.64,6.96
36,200,Revealers,4032.26,5.64
37,200,Concealers,6823.88,6.84
37,200,Revealers,3942.46,5.56
38,200,Concealers,7620.74,7.54
38,200,Revealers,6907.66,7.32
39,200,Concealers,7033.82,7.16
39,200,Revealers,4584.06,5.98
40,200,Concealers,8657.96,7.92
40,200,Revealers,7060.8,7.28
41,300,Concealers,6715.72,7.08
41,300,Revealers,4185.613333,6.026666667
42,300,Concealers,6867.573333,7.146666667
42,300,Revealers,5020.866667,6.386666667
43,300,Concealers,7569.213333,7.653333333
43,300,Revealers,6015.013333,6.773333333
44,300,Concealers,7993.333333,7.666666667
44,300,Revealers,6203.773333,7
45,300,Concealers,6789.96,7.053333333
45,300,Revealers,4641.6,6.16
46,300,Concealers,6399.946667,6.986666667
46,300,Revealers,4910.56,6.24
47,300,Concealers,6262.413333,6.56
47,300,Revealers,3216.293333,5.453333333
48,300,Concealers,6281.573333,6.546666667
48,300,Revealers,3295.013333,5.52
49,300,Concealers,6074.453333,6.666666667
49,300,Revealers,4546.92,6.106666667
50,300,Concealers,7822.173333,7.813333333
50,300,Revealers,6960.24,7.186666667
51,300,Concealers,5627.186667,6.373333333
51,300,Revealers,4269.293333,5.92
52,300,Concealers,6670.466667,7.066666667
52,300,Revealers,5542.213333,6.626666667
53,300,Concealers,7936,7.786666667
53,300,Revealers,5867.44,6.826666667
54,300,Concealers,8048.986667,7.746666667
54,300,Revealers,5496.066667,6.76
55,300,Concealers,7783.6,7.773333333
55,300,Revealers,7291.053333,7.493333333
56,300,Concealers,7973.533333,7.786666667
56,300,Revealers,5764.146667,6.84
57,300,Concealers,6883.653333,7.24
57,300,Revealers,4919.426667,6.32
58,300,Concealers,6471.986667,6.68
58,300,Revealers,3715.6,5.72
59,300,Concealers,7759,7.56
59,300,Revealers,5032.24,6.4
60,300,Concealers,7211.88,7.493333333
60,300,Revealers,6432.853333,7.04
