Run,Sens,Strategy,PI,RS
1,0,Concealers,6873.38,6.82
1,0,Revealers,3605.48,5.32
2,0,Concealers,8512.7,8.02
2,0,Revealers,7276.6,7.32
3,0,Concealers,7685.6,7.32
3,0,Revealers,4356.78,5.8
4,0,Concealers,6855.88,6.86
4,0,Revealers,3965,5.74
5,0,Concealers,6552.1,6.8
5,0,Revealers,5082.8,6.22
6,0,Concealers,6137.64,6.5
6,0,Revealers,3546.84,5.34
7,0,Concealers,6662.6,6.72
7,0,Revealers,3697.16,5.48
8,0,Concealers,7509.64,7.16
8,0,Revealers,4148.7,5.86
9,0,Concealers,6947.6,6.88
9,0,Revealers,3524.62,5.46
10,0,Concealers,8089.9,7.6
10,0,Revealers,5348.2,6.42
11,0,Concealers,7280,7.18
11,0,Revealers,5218.02,6.22
12,0,Concealers,8304.06,7.64
12,0,Revealers,5672.38,6.36
13,0,Concealers,8311.5,7.88
13,0,Revealers,5964.7,6.64
14,0,Concealers,7320.12,7.28
14,0,Revealers,4778.64,6.14
15,0,Concealers,7423.12,7.36
15,0,Revealers,4807.06,6.24
16,0,Concealers,5844.78,6.24
16,0,Revealers,3972.6,5.66
17,0,Concealers,8105.9,7.64
17,0,Revealers,4978.62,6.16
18,0,Concealers,7660.92,7.48
18,0,Revealers,5058.72,6.26
19,0,Concealers,7114.58,7.12
19,0,Revealers,4023.4,5.66
20,0,Concealers,7866.94,7.58
20,0,Revealers,5885.52,6.64
21,0.1,Concealers,7614.4,7.46
21,0.1,Revealers,6755.94,7.02
22,0.1,Concealers,6153.58,6.56
22,0.1,Revealers,4780.84,6.12
23,0.1,Concealers,6928.14,6.96
23,0.1,Revealers,4609.78,6
24,0.1,Concealers,8386.68,7.82
24,0.1,Revealers,5590.94,6.54
25,0.1,Concealers,7663.64,7.56
25,0.1,Revealers,7044.26,7.22
26,0.1,Concealers,7222.44,7.22
26,0.1,Revealers,6246.82,6.78
27,0.1,Concealers,7718.96,7.52
27,0.1,Revealers,5726.82,6.64
28,0.1,Concealers,7173.04,7.24
28,0.1,Revealers,4484.48,5.96
29,0.1,Concealers,8579.76,7.88
29,0.1,Revealers,7068.12,7.28
30,0.1,Concealers,7367.54,7.48
30,0.1,Revealers,7113.2,7.26
31,0.1,Concealers,7634.1,7.46
31,0.1,Revealers,5818.9,6.5
