Run,Sens,Strategy,PI,RS
1,0,Concealers,7342.22,7.34
1,0,Revealers,5922.82,6.58
2,0,Concealers,6961.7,7.1
2,0,Revealers,5337.52,6.28
3,0,Concealers,7940.08,7.6
3,0,Revealers,5649.58,6.48
4,0,Concealers,8717.48,7.98
4,0,Revealers,6102.86,6.78
5,0,Concealers,7281.24,7.28
5,0,Revealers,6051.06,6.7
6,0,Concealers,8257.44,7.64
6,0,Revealers,5436.08,6.34
7,0,Concealers,7302.96,7.38
7,0,Revealers,6496.26,6.82
8,0,Concealers,6646.28,6.82
8,0,Revealers,3614.84,5.5
9,0,Concealers,6985.66,7.08
9,0,Revealers,4902.88,6
10,0,Concealers,7566.92,7.54
10,0,Revealers,6075.62,6.74
11,0,Concealers,7704.78,7.46
11,0,Revealers,6512.56,7
12,0,Concealers,7917.74,7.74
12,0,Revealers,6694.26,7.14
13,0,Concealers,8230.22,7.78
13,0,Revealers,6038.68,6.8
14,0,Concealers,6546.66,6.84
14,0,Revealers,4583.88,5.9
15,0,Concealers,7275.9,7.4
15,0,Revealers,5843.28,6.56
16,0,Concealers,7733.24,7.46
16,0,Revealers,5029.82,6.24
17,0,Concealers,8425.9,7.68
17,0,Revealers,5785.6,6.62
18,0,Concealers,5385.8,6.04
18,0,Revealers,4090.78,5.6
19,0,Concealers,6764.88,6.98
19,0,Revealers,6002.34,6.68
20,0,Concealers,7648.74,7.46
20,0,Revealers,5244.68,6.3
21,0.25,Concealers,7406.52,7.24
21,0.25,Revealers,4617.36,6
22,0.25,Concealers,6355.6,6.64
22,0.25,Revealers,4255.82,5.66
23,0.25,Concealers,7343.8,7.28
23,0.25,Revealers,4531.22,6.04
24,0.25,Concealers,6628.9,6.8
24,0.25,Revealers,4699.5,6.06
25,0.25,Concealers,7424.54,7.42
25,0.25,Revealers,6065.08,6.62
26,0.25,Concealers,7913.1,7.62
26,0.25,Revealers,6633.26,6.96
27,0.25,Concealers,7198.42,7.22
27,0.25,Revealers,5402.76,6.46
28,0.25,Concealers,6458.28,6.76
28,0.25,Revealers,4663.28,6.02
29,0.25,Concealers,7748.32,7.4
29,0.25,Revealers,5137.94,6.24
30,0.25,Concealers,7873.9,7.44
30,0.25,Revealers,5276.66,6.4
31,0.25,Concealers,7669.6,7.58
31,0.25,Revealers,5481.86,6.5
32,0.25,Concealers,8055.4,7.72
32,0.25,Revealers,5701.02,6.54
33,0.25,Concealers,7358.04,7.18
33,0.25,Revealers,4399.78,5.84
34,0.25,Concealers,6431.22,6.86
34,0.25,Revealers,4771.32,6
35,0.25,Concealers,7082.76,7.08
35,0.25,Revealers,4406.7,5.98
36,0.25,Concealers,8019.46,7.7
36,0.25,Revealers,6701.24,7
37,0.25,Concealers,4877.18,5.42
37,0.25,Revealers,2027.02,4.48
38,0.25,Concealers,6740.04,6.9
38,0.25,Revealers,4119.48,5.74
39,0.25,Concealers,6377.38,6.72
39,0.25,Revealers,4908.64,6.16
40,0.25,Concealers,6980.54,7.2
40,0.25,Revealers,6009.12,6.78
41,0.5,Concealers,7072.58,7.2
41,0.5,Revealers,5378.82,6.46
42,0.5,Concealers,7605.94,7.46
42,0.5,Revealers,5401.28,6.36
43,0.5,Concealers,7105.54,7.12
43,0.5,Revealers,5498.4,6.42
44,0.5,Concealers,8270.44,7.76
44,0.5,Revealers,6276.48,6.9
45,0.5,Concealers,7287.9,7.2
45,0.5,Revealers,4592.62,5.98
46,0.5,Concealers,8248,7.86
46,0.5,Revealers,6094,6.74
47,0.5,Concealers,6931.94,6.82
47,0.5,Revealers,3775.54,5.5
48,0.5,Concealers,7892.82,7.48
48,0.5,Revealers,5934.78,6.54
49,0.5,Concealers,7033.1,7.14
49,0.5,Revealers,5336.18,6.48
50,0.5,Concealers,7816.52,7.52
50,0.5,Revealers,5818.44,6.6
51,0.5,Concealers,6703.06,7
51,0.5,Revealers,4102.22,5.84
52,0.5,Concealers,6730.74,6.92
52,0.5,Revealers,3739,5.58
53,0.5,Concealers,6205.82,6.72
53,0.5,Revealers,5031.22,6.22
54,0.5,Concealers,8494.16,7.74
54,0.5,Revealers,6263.26,6.86
55,0.5,Concealers,7849.06,7.58
55,0.5,Revealers,5838.8,6.58
56,0.5,Concealers,7685.36,7.58
56,0.5,Revealers,6046.54,6.72
57,0.5,Concealers,6263.08,6.7
57,0.5,Revealers,4675.86,6
58,0.5,Concealers,8169.32,7.66
58,0.5,Revealers,5696.74,6.62
59,0.5,Concealers,7016.42,7.16
59,0.5,Revealers,4869.16,6.1
60,0.5,Concealers,8101.22,7.56
60,0.5,Revealers,4972.02,6.16
61,0.75,Concealers,8047.34,7.62
61,0.75,Revealers,6230.62,6.78
62,0.75,Concealers,6640.68,6.86
62,0.75,Revealers,4065.34,5.78
63,0.75,Concealers,6451.12,6.78
63,0.75,Revealers,4371.56,5.88
64,0.75,Concealers,6294.64,6.52
64,0.75,Revealers,3764.9,5.38
65,0.75,Concealers,8400.36,7.82
65,0.75,Revealers,6607.96,7.08
66,0.75,Concealers,7095.18,7.2
66,0.75,Revealers,4935.3,6.12
67,0.75,Concealers,6215.62,6.6
67,0.75,Revealers,4348.28,5.94
68,0.75,Concealers,7341.88,7.24
68,0.75,Revealers,4480,5.82
69,0.75,Concealers,6583.88,6.6
69,0.75,Revealers,3799.58,5.64
70,0.75,Concealers,7759.62,7.46
70,0.75,Revealers,5925.6,6.64
71,0.75,Concealers,8242.64,7.86
71,0.75,Revealers,7190.34,7.16
72,0.75,Concealers,6063.8,6.54
72,0.75,Revealers,3692.14,5.64
73,0.75,Concealers,7237.6,7.24
73,0.75,Revealers,6287.08,6.88
74,0.75,Concealers,7101.82,7.24
74,0.75,Revealers,4166.4,5.84
75,0.75,Concealers,6465.42,6.82
75,0.75,Revealers,5270.6,6.4
76,0.75,Concealers,7568.32,7.46
76,0.75,Revealers,5494.72,6.48
77,0.75,Concealers,7924.66,7.54
77,0.75,Revealers,5499.52,6.38
78,0.75,Concealers,7681.08,7.5
78,0.75,Revealers,6367.58,6.94
79,0.75,Concealers,7438.36,7.26
79,0.75,Revealers,5921.5,6.68
80,0.75,Concealers,6556.58,6.9
80,0.75,Revealers,4295.58,5.92
81,1,Concealers,7035.98,7.16
81,1,Revealers,5727.58,6.46
82,1,Concealers,8150.6,7.68
82,1,Revealers,5810.62,6.64
83,1,Concealers,6526.26,6.8
83,1,Revealers,4084.44,5.58
84,1,Concealers,7446.66,7.34
84,1,Revealers,6309.88,6.78
85,1,Concealers,6306.32,6.88
85,1,Revealers,5518.86,6.38
86,1,Concealers,7965,7.58
86,1,Revealers,5349.9,6.4
87,1,Concealers,7435.42,7.36
87,1,Revealers,5089.84,6.26
88,1,Concealers,6543.96,6.78
88,1,Revealers,4350.58,5.88
89,1,Concealers,8145.08,7.74
89,1,Revealers,6222.78,6.8
90,1,Concealers,6127.64,6.52
90,1,Revealers,4054.68,5.8
91,1,Concealers,5515.88,6.38
91,1,Revealers,3254.94,5.32
92,1,Concealers,8090.84,7.82
92,1,Revealers,5358.88,6.4
93,1,Concealers,6990.82,7.24
93,1,Revealers,5693.8,6.56
94,1,Concealers,7556.68,7.38
94,1,Revealers,5771.02,6.62
95,1,Concealers,7448.12,7.24
95,1,Revealers,4627.64,6.12
96,1,Concealers,7161.82,7.22
96,1,Revealers,5655.38,6.56
97,1,Concealers,7302.18,7.28
97,1,Revealers,6557.4,6.96
98,1,Concealers,7256.54,7.22
98,1,Revealers,6585.26,6.98
99,1,Concealers,8421.62,7.72
99,1,Revealers,5600.42,6.54
100,1,Concealers,7428.54,7.46
100,1,Revealers,5479.16,6.46
101,1.25,Concealers,7676.14,7.42
101,1.25,Revealers,5117.08,6.26
102,1.25,Concealers,6893.56,7.06
102,1.25,Revealers,4526.52,5.92
103,1.25,Concealers,6418.56,6.9
103,1.25,Revealers,4133.62,5.82
104,1.25,Concealers,7070.42,6.9
104,1.25,Revealers,3916.6,5.58
105,1.25,Concealers,8437.02,7.82
105,1.25,Revealers,5424.98,6.34
106,1.25,Concealers,7815.08,7.5
106,1.25,Revealers,4785.1,6.08
107,1.25,Concealers,7230.9,7.28
107,1.25,Revealers,5419.76,6.46
108,1.25,Concealers,7954.58,7.68
108,1.25,Revealers,6612.54,6.94
109,1.25,Concealers,5818.78,6.3
109,1.25,Revealers,3095.12,5.02
110,1.25,Concealers,7823.04,7.56
110,1.25,Revealers,5107.66,6.28
111,1.25,Concealers,6460.48,6.6
111,1.25,Revealers,3606.14,5.48
112,1.25,Concealers,8047.78,7.7
112,1.25,Revealers,6124.7,6.76
113,1.25,Concealers,6095.2,6.6
113,1.25,Revealers,3281.88,5.16
114,1.25,Concealers,5998.44,6.44
114,1.25,Revealers,4460.74,5.92
115,1.25,Concealers,7529.44,7.38
115,1.25,Revealers,5547.78,6.5
116,1.25,Concealers,7042.22,7.14
116,1.25,Revealers,5004.88,6.18
117,1.25,Concealers,8255.98,7.76
117,1.25,Revealers,5436.14,6.44
118,1.25,Concealers,8430.82,7.88
118,1.25,Revealers,6523.14,6.94
119,1.25,Concealers,6411.16,6.72
119,1.25,Revealers,4314.74,5.8
120,1.25,Concealers,7155.84,7.14
120,1.25,Revealers,5417.72,6.42
121,1.5,Concealers,6875,6.9
121,1.5,Revealers,5003.54,6.04
122,1.5,Concealers,8282.84,7.74
122,1.5,Revealers,5439.82,6.42
123,1.5,Concealers,7529.88,7.48
123,1.5,Revealers,6445.52,6.94
124,1.5,Concealers,8422.06,7.86
124,1.5,Revealers,5596.34,6.6
125,1.5,Concealers,7334.12,7.3
125,1.5,Revealers,4815.02,6.08
126,1.5,Concealers,7246.76,7.24
126,1.5,Revealers,5278.62,6.28
127,1.5,Concealers,7538.4,7.56
127,1.5,Revealers,6441.88,6.86
128,1.5,Concealers,7671.76,7.4
128,1.5,Revealers,5301.86,6.38
129,1.5,Concealers,6339.6,6.72
129,1.5,Revealers,3987.04,5.72
130,1.5,Concealers,8281.54,7.96
130,1.5,Revealers,6452.08,7.02
131,1.5,Concealers,6210.5,6.74
131,1.5,Revealers,4633.26,5.9
132,1.5,Concealers,7862.24,7.54
132,1.5,Revealers,5325.68,6.4
133,1.5,Concealers,6897.34,7
133,1.5,Revealers,4750.26,6.06
134,1.5,Concealers,8161.38,7.74
134,1.5,Revealers,6475.92,6.86
135,1.5,Concealers,5350.68,5.92
135,1.5,Revealers,3750.26,5.34
136,1.5,Concealers,7664.52,7.44
136,1.5,Revealers,6380.78,6.86
137,1.5,Concealers,7190.36,7.26
137,1.5,Revealers,4932.6,6.22
138,1.5,Concealers,6475.02,6.96
138,1.5,Revealers,5285.9,6.38
139,1.5,Concealers,7600,7.48
139,1.5,Revealers,5351.36,6.36
140,1.5,Concealers,7899.38,7.58
140,1.5,Revealers,6048.36,6.66
141,1.75,Concealers,7639.7,7.44
141,1.75,Revealers,5688.52,6.62
142,1.75,Concealers,7379.72,7.38
142,1.75,Revealers,5546.88,6.42
143,1.75,Concealers,7587.78,7.46
143,1.75,Revealers,6354.94,6.76
144,1.75,Concealers,6887.82,7.06
144,1.75,Revealers,5521.14,6.42
145,1.75,Concealers,7594.94,7.3
145,1.75,Revealers,5834.46,6.52
146,1.75,Concealers,6261.64,6.7
146,1.75,Revealers,4814.78,6.14
147,1.75,Concealers,7177.34,7.16
147,1.75,Revealers,5504.08,6.48
148,1.75,Concealers,5833.46,6.3
148,1.75,Revealers,3695.96,5.48
149,1.75,Concealers,8261.32,7.8
149,1.75,Revealers,6684.7,7
150,1.75,Concealers,7675.12,7.56
150,1.75,Revealers,6184.9,6.78
151,1.75,Concealers,6860,7.08
151,1.75,Revealers,5235.2,6.26
152,1.75,Concealers,7613.12,7.4
152,1.75,Revealers,5001.38,6.16
153,1.75,Concealers,7981.36,7.5
153,1.75,Revealers,5122.64,6.28
154,1.75,Concealers,6525.56,6.72
154,1.75,Revealers,4416.6,5.96
155,1.75,Concealers,7482.96,7.3
155,1.75,Revealers,5421.18,6.46
156,1.75,Concealers,7118,7.18
156,1.75,Revealers,5913.9,6.68
157,1.75,Concealers,6659.92,6.74
157,1.75,Revealers,4591.44,5.9
158,1.75,Concealers,7234.22,7.18
158,1.75,Revealers,5188.78,6.36
159,1.75,Concealers,8084.9,7.56
159,1.75,Revealers,5676.42,6.44
160,1.75,Concealers,7333.28,7.38
160,1.75,Revealers,5531.94,6.54
161,2,Concealers,8601.28,7.88
161,2,Revealers,6231.64,6.9
162,2,Concealers,8015.08,7.58
162,2,Revealers,6944.86,7.14
163,2,Concealers,6363.1,6.64
163,2,Revealers,4314.26,5.76
164,2,Concealers,7445.52,7.4
164,2,Revealers,5741.94,6.66
165,2,Concealers,7283.76,7.18
165,2,Revealers,5532.04,6.34
166,2,Concealers,8100.58,7.74
166,2,Revealers,6287.82,6.86
167,2,Concealers,8250.46,7.82
167,2,Revealers,6603.58,7.1
168,2,Concealers,6582.9,6.86
168,2,Revealers,4183.58,5.78
169,2,Concealers,7159.86,7.06
169,2,Revealers,4780.76,6.14
170,2,Concealers,7877.06,7.7
170,2,Revealers,5675.38,6.54
171,2,Concealers,7288.3,7.32
171,2,Revealers,5732.06,6.64
172,2,Concealers,8344.58,7.78
172,2,Revealers,5563.8,6.5
173,2,Concealers,7406.6,7.18
173,2,Revealers,5986.1,6.6
174,2,Concealers,8306.96,7.72
174,2,Revealers,6428.66,6.78
175,2,Concealers,7396.92,7.34
175,2,Revealers,4884.54,6.24
176,2,Concealers,6603.92,6.8
176,2,Revealers,4264.68,5.8
177,2,Concealers,6967.96,7.12
177,2,Revealers,5200.56,6.4
178,2,Concealers,7496.12,7.34
178,2,Revealers,4881.66,6.12
179,2,Concealers,7424.58,7.3
179,2,Revealers,5023.66,6.2
180,2,Concealers,7089.62,7.28
180,2,Revealers,5913.26,6.64
