Run,Sens,Strategy,PI,RS
1,0,Concealers,9113.16,8.16
1,0,Revealers,8636.8,7.86
2,0,Concealers,9348.06,8.24
2,0,Revealers,8125.88,7.58
3,0,Concealers,9570.04,8.18
3,0,Revealers,7070.28,7.18
4,0,Concealers,9075.26,8.04
4,0,Revealers,8124.98,7.64
5,0,Concealers,9815.86,8.44
5,0,Revealers,7027.94,7.06
6,0,Concealers,9425.82,8.32
6,0,Revealers,8154.44,7.56
7,0,Concealers,9157.82,8.1
7,0,Revealers,8330.08,7.7
8,0,Concealers,9213.88,8.2
8,0,Revealers,8008.94,7.52
9,0,Concealers,9218.98,8.24
9,0,Revealers,7937.22,7.34
10,0,Concealers,9406.3,8.16
10,0,Revealers,7307.46,7.2
11,0,Concealers,9337.64,8.4
11,0,Revealers,8280.62,7.66
12,0,Concealers,9580.32,8.18
12,0,Revealers,6341.78,6.72
13,0,Concealers,10062.92,8.46
13,0,Revealers,7433.24,7.44
14,0,Concealers,8985.78,8.02
14,0,Revealers,5972.14,6.64
15,0,Concealers,9842.98,8.58
15,0,Revealers,7918.52,7.56
16,0,Concealers,8550.24,7.9
16,0,Revealers,8487.24,7.62
17,0,Concealers,9580.22,8.24
17,0,Revealers,7496.84,7.52
18,0,Concealers,9891.32,8.52
18,0,Revealers,7340.26,7.26
19,0,Concealers,9530.32,8.28
19,0,Revealers,7072.46,7.08
20,0,Concealers,9208.94,8.18
20,0,Revealers,8537.28,7.7
21,10,Concealers,6429.58,6.76
21,10,Revealers,4640.72,5.92
22,10,Concealers,8208.94,7.64
22,10,Revealers,5097.86,6.28
23,10,Concealers,8554.34,7.8
23,10,Revealers,6129.86,6.78
24,10,Concealers,7551.84,7.4
24,10,Revealers,6828.62,7
25,10,Concealers,6973.56,7.12
25,10,Revealers,6581.06,6.82
26,10,Concealers,9364.3,8.14
26,10,Revealers,6249.9,6.82
27,10,Concealers,8750.82,7.94
27,10,Revealers,5594.38,6.66
28,10,Concealers,8345.42,7.54
28,10,Revealers,5352.4,6.36
29,10,Concealers,8521.92,7.86
29,10,Revealers,7431.82,7.22
30,10,Concealers,8104.98,7.58
30,10,Revealers,5255.88,6.36
31,10,Concealers,8439.36,7.84
31,10,Revealers,6072.34,6.76
32,10,Concealers,9189.92,8.18
32,10,Revealers,6819.3,7.14
33,10,Concealers,7819.54,7.6
33,10,Revealers,6875.72,7
34,10,Concealers,6928.04,6.94
34,10,Revealers,5527.76,6.46
35,10,Concealers,10088.74,8.6
35,10,Revealers,6320.04,6.72
36,10,Concealers,8381.16,7.62
36,10,Revealers,5575.54,6.34
37,10,Concealers,8435.34,7.8
37,10,Revealers,6146.9,6.66
38,10,Concealers,8237.24,7.7
38,10,Revealers,7196.1,7.18
39,10,Concealers,9415.36,8.32
39,10,Revealers,6556.7,6.82
40,10,Concealers,7652.8,7.36
40,10,Revealers,6166.28,6.54
41,20,Concealers,6262.84,6.34
41,20,Revealers,3144.26,5.22
42,20,Concealers,6874.7,7.1
42,20,Revealers,5500.94,6.46
43,20,Concealers,7778.12,7.6
43,20,Revealers,6623.98,6.94
44,20,Concealers,6983.74,6.96
44,20,Revealers,3905.54,5.6
45,20,Concealers,7397.36,7.2
45,20,Revealers,4618.7,6.02
46,20,Concealers,8068.72,7.68
46,20,Revealers,5631.3,6.48
47,20,Concealers,7866.02,7.64
47,20,Revealers,6744,7.14
48,20,Concealers,8313.36,7.74
48,20,Revealers,6326.56,6.9
49,20,Concealers,7641.52,7.6
49,20,Revealers,5064.18,6.36
50,20,Concealers,6390.46,6.88
50,20,Revealers,5723.32,6.64
51,20,Concealers,7609.8,7.54
51,20,Revealers,7369.6,7.24
52,20,Concealers,6000.34,6.38
52,20,Revealers,3971.74,5.7
53,20,Concealers,8696.66,8.02
53,20,Revealers,6789.66,6.96
54,20,Concealers,8044.52,7.78
54,20,Revealers,5909.86,6.68
55,20,Concealers,7949.88,7.64
55,20,Revealers,5678.7,6.6
56,20,Concealers,7109.66,7.2
56,20,Revealers,6019.88,6.68
57,20,Concealers,8357.98,7.96
57,20,Revealers,5591.04,6.56
58,20,Concealers,7720.4,7.64
58,20,Revealers,6593.38,6.84
59,20,Concealers,7326.12,7.3
59,20,Revealers,6034.94,6.76
60,20,Concealers,7135.18,7.26
60,20,Revealers,5895.8,6.6
61,30,Concealers,5118.8,5.94
61,30,Revealers,3272.46,5.16
62,30,Concealers,7424,7.44
62,30,Revealers,5598.62,6.46
63,30,Concealers,5671.1,6.32
63,30,Revealers,3133.54,5.14
64,30,Concealers,6338.28,6.9
64,30,Revealers,4993.14,6.12
65,30,Concealers,5817.36,6.44
65,30,Revealers,3687.24,5.36
66,30,Concealers,6997.22,7.02
66,30,Revealers,4099.28,5.72
67,30,Concealers,4962.9,5.8
67,30,Revealers,2719.04,4.92
