Run,costO,costS,Strategy,PI,RS
1,0,0,Concealers,6294.96,6.72
1,0,0,Revealers,5541.16,6.54
2,0,0,Concealers,6483.52,6.96
2,0,0,Revealers,6610.06,7.04
3,0,0,Concealers,5991.88,6.66
3,0,0,Revealers,5892.3,6.56
4,0,0,Concealers,5323.18,6.44
4,0,0,Revealers,6581.42,6.94
5,0,0,Concealers,5387.76,6.4
5,0,0,Revealers,6839.06,6.96
6,0,0,Concealers,5680.5,6.46
6,0,0,Revealers,6150.78,6.68
7,0,0,Concealers,6888.3,6.98
7,0,0,Revealers,6278.64,6.84
8,0,0,Concealers,6642.1,6.98
8,0,0,Revealers,6790.3,7.12
9,0,0,Concealers,5924.6,6.6
9,0,0,Revealers,6923.3,7.18
10,0,0,Concealers,6124.9,6.58
10,0,0,Revealers,4256.76,5.8
11,0,0,Concealers,6417.9,6.82
11,0,0,Revealers,5548.46,6.48
12,0,0,Concealers,5931.6,6.66
12,0,0,Revealers,6113.42,6.8
13,0,0,Concealers,6205.2,6.84
13,0,0,Revealers,7622.4,7.44
14,0,0,Concealers,4931.28,6.2
14,0,0,Revealers,7098.3,7.14
15,0,0,Concealers,5238.98,6.24
15,0,0,Revealers,7018.82,7.14
16,0,0,Concealers,8531.08,7.8
16,0,0,Revealers,6375.66,6.88
17,0,0,Concealers,8078.42,7.56
17,0,0,Revealers,5742.22,6.62
18,0,0,Concealers,6904.44,7.12
18,0,0,Revealers,6317.22,6.82
19,0,0,Concealers,3657.98,5.56
19,0,0,Revealers,6230.5,6.58
20,0,0,Concealers,6897.06,7.14
20,0,0,Revealers,6760.38,6.96
21,0,0.5,Concealers,6393.32,6.88
21,0,0.5,Revealers,7580.5,7.54
22,0,0.5,Concealers,5933.84,6.68
22,0,0.5,Revealers,6217.24,6.8
23,0,0.5,Concealers,6825.92,7.06
23,0,0.5,Revealers,5884.7,6.58
24,0,0.5,Concealers,6321.28,6.74
24,0,0.5,Revealers,4843.32,6.06
25,0,0.5,Concealers,4895.52,6.06
25,0,0.5,Revealers,6175.68,6.52
26,0,0.5,Concealers,6044.48,6.76
26,0,0.5,Revealers,5222.4,6.28
27,0,0.5,Concealers,5535.88,6.36
27,0,0.5,Revealers,4800.72,6.1
28,0,0.5,Concealers,4597.74,5.9
28,0,0.5,Revealers,6469.36,6.86
29,0,0.5,Concealers,7231.34,7.34
