Run,costO,costS,Strategy,DiffPI,DiffRS
1,0,0,Concealers,753.8,0.18
2,0,0,Concealers,-126.54,-0.08
3,0,0,Concealers,99.58,0.1
4,0,0,Concealers,-1258.24,-0.5
5,0,0,Concealers,-1451.3,-0.56
6,0,0,Concealers,-470.28,-0.22
7,0,0,Concealers,609.66,0.14
8,0,0,Concealers,-148.2,-0.14
9,0,0,Concealers,-998.7,-0.58
10,0,0,Concealers,1868.14,0.78
11,0,0,Concealers,869.44,0.34
12,0,0,Concealers,-181.82,-0.14
13,0,0,Concealers,-1417.2,-0.6
14,0,0,Concealers,-2167.02,-0.94
15,0,0,Concealers,-1779.84,-0.9
16,0,0,Concealers,2155.42,0.92
17,0,0,Concealers,2336.2,0.94
18,0,0,Concealers,587.22,0.3
19,0,0,Concealers,-2572.52,-1.02
20,0,0,Concealers,136.68,0.18
21,0,0.5,Concealers,-1187.18,-0.66
22,0,0.5,Concealers,-283.4,-0.12
23,0,0.5,Concealers,941.22,0.48
24,0,0.5,Concealers,1477.96,0.68
25,0,0.5,Concealers,-1280.16,-0.46
26,0,0.5,Concealers,822.08,0.48
27,0,0.5,Concealers,735.16,0.26
28,0,0.5,Concealers,-1871.62,-0.96
29,0,0.5,Concealers,468.06,0.3
30,0,0.5,Concealers,48.66,0.06
31,0,0.5,Concealers,2284.94,0.78
32,0,0.5,Concealers,-2115.84,-0.88
33,0,0.5,Concealers,-153.14,-0.22
34,0,0.5,Concealers,-664.28,-0.24
35,0,0.5,Concealers,2333.64,0.96
36,0,0.5,Concealers,1903.24,0.66
37,0,0.5,Concealers,582.22,0.28
38,0,0.5,Concealers,1799.7,0.96
39,0,0.5,Concealers,-2309.16,-1.2
40,0,0.5,Concealers,254.94,0.18
41,0,1,Concealers,-2099.56,-0.98
42,0,1,Concealers,-2054.26,-0.74
43,0,1,Concealers,2184.12,0.88
44,0,1,Concealers,-323.3,-0.12
45,0,1,Concealers,-1421.06,-0.52
46,0,1,Concealers,553.44,0.28
47,0,1,Concealers,32.26,0
48,0,1,Concealers,-2597.04,-1.26
49,0,1,Concealers,-2303.64,-0.9
50,0,1,Concealers,1376.74,0.78
51,0,1,Concealers,2155.76,1.04
52,0,1,Concealers,-1459.5,-0.56
53,0,1,Concealers,-2389.82,-0.9
54,0,1,Concealers,1348.78,0.58
55,0,1,Concealers,-1452.84,-0.46
56,0,1,Concealers,-2041.78,-0.82
57,0,1,Concealers,415.68,0.28
58,0,1,Concealers,-1889.38,-0.8
59,0,1,Concealers,1106.1,0.6
60,0,1,Concealers,345.18,-0.02
61,0,1.5,Concealers,204.32,0.14
62,0,1.5,Concealers,-304.06,0
63,0,1.5,Concealers,280.44,0.12
64,0,1.5,Concealers,329.58,0.18
65,0,1.5,Concealers,-493.2,-0.34
66,0,1.5,Concealers,263.22,0.18
67,0,1.5,Concealers,384.36,0.14
68,0,1.5,Concealers,93.22,0
69,0,1.5,Concealers,678.04,0.52
70,0,1.5,Concealers,-398.4,-0.26
71,0,1.5,Concealers,-197.34,-0.16
72,0,1.5,Concealers,-644.92,-0.32
73,0,1.5,Concealers,-1.16,-0.06
74,0,1.5,Concealers,468.82,0.28
75,0,1.5,Concealers,-371.32,-0.12
76,0,1.5,Concealers,86.08,-0.04
77,0,1.5,Concealers,358.64,0.22
78,0,1.5,Concealers,379.76,0.24
79,0,1.5,Concealers,74.26,0.04
80,0,1.5,Concealers,-492.42,-0.26
81,0,2,Concealers,-437.68,-0.24
82,0,2,Concealers,37.38,-0.08
83,0,2,Concealers,-66.72,-0.02
84,0,2,Concealers,-1020.08,-0.38
85,0,2,Concealers,-99.78,-0.08
86,0,2,Concealers,-638.46,-0.24
87,0,2,Concealers,-344.88,-0.3
88,0,2,Concealers,-373.16,-0.22
89,0,2,Concealers,316.7,0.16
90,0,2,Concealers,478.24,0.3
91,0,2,Concealers,2.14,0.18
92,0,2,Concealers,-328.34,-0.2
93,0,2,Concealers,-137.8,-0.1
94,0,2,Concealers,161.82,0
95,0,2,Concealers,743.26,0.4
96,0,2,Concealers,227.18,-0.02
97,0,2,Concealers,-79.32,-0.14
98,0,2,Concealers,442.5,0.06
99,0,2,Concealers,-748.02,-0.28
100,0,2,Concealers,410.56,0.2
101,0.5,0,Concealers,1820.22,0.74
102,0.5,0,Concealers,2704.52,1.2
103,0.5,0,Concealers,1982.5,1.02
104,0.5,0,Concealers,198.48,0.16
105,0.5,0,Concealers,-521.12,-0.2
106,0.5,0,Concealers,2513.68,1.18
107,0.5,0,Concealers,2730.62,1.06
108,0.5,0,Concealers,2686.7,1.24
109,0.5,0,Concealers,2413.24,1.12
110,0.5,0,Concealers,1506.12,0.68
111,0.5,0,Concealers,735.94,0.52
112,0.5,0,Concealers,3295.18,1.52
113,0.5,0,Concealers,1772.2,0.72
114,0.5,0,Concealers,2277.66,0.98
115,0.5,0,Concealers,703.98,0.26
116,0.5,0,Concealers,401.96,0.34
117,0.5,0,Concealers,1045.46,0.38
