ID,Sex,mate_value,male_promiscuity,num_matings,num_unique_mates,mate_switching
0,female,69.66850064,NA,3882,90,1344
1,female,51.98346163,NA,8571,43,207
2,female,57.43453811,NA,6661,60,979
3,female,31.84944603,NA,7634,57,276
4,female,51.36926002,NA,8074,41,293
5,female,55.08717625,NA,8026,47,254
6,female,45.41037415,NA,7631,40,190
7,female,41.85339483,NA,7602,55,525
8,female,58.34885057,NA,8131,53,239
9,female,56.38661893,NA,9094,42,177
10,female,59.23552893,NA,7952,48,523
11,female,37.22820444,NA,7186,49,343
12,female,45.97659155,NA,7875,50,175
13,female,56.55234902,NA,7536,53,579
14,female,48.45398407,NA,8423,46,894
15,female,36.17345439,NA,7758,47,220
16,female,66.61200656,NA,9158,45,1428
17,female,63.26347603,NA,9087,44,691
18,female,44.12888531,NA,7162,57,288
19,female,30.54720301,NA,7595,51,749
20,female,49.59287091,NA,7817,52,263
21,female,58.27524462,NA,7253,51,233
22,female,58.76667601,NA,7917,54,417
23,female,34.29994237,NA,8186,55,163
24,female,60.98594189,NA,6565,67,1000
25,female,47.25537202,NA,8204,51,371
26,female,42.00889659,NA,6339,58,192
27,female,45.88593992,NA,7159,48,718
28,female,36.51364443,NA,9035,28,79
29,female,46.51160816,NA,8001,52,334
30,female,32.48473673,NA,7029,48,621
31,female,46.16937365,NA,8157,46,266
32,female,51.37681022,NA,8054,52,443
33,female,66.09828355,NA,6411,67,1812
34,female,55.76335134,NA,8114,51,177
35,female,53.97890498,NA,7329,64,303
36,female,63.73051532,NA,7928,52,790
37,female,34.34000006,NA,6252,63,1128
38,female,36.5542078,NA,8979,32,203
39,female,52.96136982,NA,8401,52,136
40,female,61.84301168,NA,8228,47,243
41,female,44.65291307,NA,7886,36,347
42,female,37.13221968,NA,8123,56,233
43,female,37.18584107,NA,8397,43,138
44,female,56.04251828,NA,7288,67,504
45,female,30.52946124,NA,8550,53,148
46,female,63.09781805,NA,8533,49,1434
47,female,56.29623341,NA,7850,40,199
48,female,52.56729685,NA,7646,47,105
49,female,74.24201854,NA,4211,88,2669
50,female,40.2356586,NA,8051,49,423
51,female,42.99240599,NA,8550,40,1137
52,female,57.33196134,NA,6570,61,356
53,female,51.67498901,NA,7055,58,444
54,female,43.8831888,NA,6424,60,178
55,female,60.22781319,NA,7343,59,314
56,female,48.47107676,NA,8361,37,159
57,female,16.413358,NA,8912,38,244
58,female,40.06722734,NA,8306,50,377
59,female,41.0832246,NA,7896,59,196
60,female,49.74839515,NA,7347,58,444
61,female,58.62427302,NA,8002,54,261
62,female,55.87713709,NA,7912,59,116
63,female,46.24405938,NA,7239,44,268
64,female,38.25412081,NA,7088,57,239
65,female,30.45942952,NA,7273,48,701
66,female,43.06525974,NA,8502,48,919
67,female,46.14352379,NA,6232,68,1598
68,female,46.4215278,NA,7943,54,396
69,female,25.52663724,NA,8444,43,436
70,female,51.8345347,NA,8848,38,116
71,female,59.96481839,NA,7952,59,523
72,female,39.04370139,NA,7150,52,223
73,female,55.54504415,NA,6862,58,248
74,female,57.83585988,NA,6993,63,834
75,female,50.17739412,NA,7027,47,289
76,female,65.91629729,NA,8839,43,298
77,female,47.95733451,NA,7668,50,367
78,female,55.30120572,NA,7486,52,197
79,female,32.19003664,NA,8258,53,206
80,female,37.68959688,NA,8081,51,1126
81,female,65.53807727,NA,7202,64,499
82,female,40.45669973,NA,6953,55,922
