ID,Sex,mate_value,male_promiscuity,num_matings,num_unique_mates,mate_switching
0,female,55.1344093,NA,7284,78,681
1,female,51.75079783,NA,6844,54,265
2,female,48.05139534,NA,8519,45,365
3,female,59.72729677,NA,6591,74,931
4,female,49.43339922,NA,7990,53,858
5,female,47.35915485,NA,7783,54,983
6,female,45.67680063,NA,7173,49,428
7,female,52.6569091,NA,6282,67,348
8,female,47.84893533,NA,7489,60,645
9,female,49.31380631,NA,7607,40,1569
10,female,76.06889411,NA,4983,94,4268
11,female,47.04588642,NA,7727,53,626
12,female,56.30183502,NA,7150,58,793
13,female,54.75045166,NA,7693,59,275
14,female,26.78185111,NA,6712,67,355
15,female,51.6686344,NA,7873,45,819
16,female,32.60056383,NA,8392,57,827
17,female,49.46585689,NA,7947,45,145
18,female,58.23509171,NA,8828,44,506
19,female,31.86981497,NA,9163,39,1202
20,female,44.65512376,NA,6653,51,871
21,female,51.02881207,NA,7537,65,584
22,female,33.10216221,NA,7034,64,878
23,female,47.85456183,NA,7244,52,221
24,female,46.33478429,NA,8199,56,562
25,female,69.06113894,NA,8038,61,1416
26,female,65.05684781,NA,8030,54,1316
27,female,64.97937931,NA,8260,55,1096
28,female,52.45963304,NA,8310,66,1185
29,female,53.85609361,NA,7862,58,207
30,female,43.38334511,NA,5766,56,233
31,female,59.4282561,NA,8443,57,217
32,female,45.00207976,NA,6645,50,286
33,female,58.36363085,NA,8281,52,483
34,female,64.56696857,NA,8190,61,346
35,female,36.81839563,NA,8000,46,418
36,female,49.22399682,NA,8336,60,474
37,female,47.90033381,NA,7161,53,218
38,female,45.73514805,NA,5528,56,1043
39,female,75.79763428,NA,4860,92,2106
40,female,44.59546172,NA,6199,52,943
41,female,26.98607424,NA,7229,64,483
42,female,34.63968671,NA,7858,56,398
43,female,32.97346476,NA,8589,63,404
44,female,55.24816648,NA,7016,63,1556
45,female,50.24344972,NA,7912,72,342
46,female,46.90451918,NA,6936,61,326
47,female,48.13756677,NA,6275,65,1087
48,female,54.09708479,NA,8213,60,280
49,female,49.568559,NA,7180,63,447
50,female,56.21674527,NA,8159,57,593
51,female,47.80631554,NA,7682,65,285
52,female,51.70401636,NA,8483,47,392
53,female,42.05481256,NA,7521,56,697
54,female,30.85671066,NA,8208,62,782
55,female,57.25926915,NA,7039,53,353
56,female,40.16573548,NA,8428,49,629
57,female,70.506211,NA,7785,70,2179
58,female,40.44829094,NA,7687,55,210
59,female,48.14863247,NA,6945,54,386
60,female,60.68129532,NA,8213,51,603
61,female,46.64859603,NA,8507,53,282
62,female,30.21960994,NA,7057,51,1554
63,female,68.5961502,NA,7990,61,654
64,female,53.04255912,NA,7926,62,490
65,female,55.41233222,NA,8284,51,223
66,female,54.70793348,NA,6550,49,1222
67,female,47.74626679,NA,5916,72,295
68,female,55.23285567,NA,7847,62,511
69,female,35.14333532,NA,8110,51,544
70,female,54.39600489,NA,7554,52,235
71,female,52.28589646,NA,8687,48,1244
72,female,45.03358208,NA,7758,59,759
73,female,58.94243467,NA,8407,52,375
74,female,64.47045105,NA,7768,67,1223
75,female,57.97529911,NA,8892,48,1363
76,female,33.18248649,NA,7918,55,797
77,female,38.63106672,NA,7550,68,911
78,female,40.14055839,NA,8235,55,225
79,female,54.22115981,NA,8436,48,595
80,female,42.87209691,NA,7545,46,850
81,female,68.81013082,NA,8166,59,1693
82,female,43.36384957,NA,8395,59,745
83,female,38.27818166,NA,7569,57,1141
84,female,42.14970675,NA,8127,48,270
85,female,23.46907935,NA,8585,55,296
86,female,57.85479024,NA,6067,79,1024
87,female,70.48578277,NA,8618,62,2199
88,female,55.10527669,NA,8252,50,828
89,female,57.09123859,NA,8960,38,499
90,female,37.03843419,NA,8520,43,716
91,female,55.4079266,NA,5846,63,839
92,female,35.61580222,NA,5860,71,411
93,female,45.28143301,NA,8198,58,521
94,female,50.21223847,NA,6987,59,512
95,female,53.79504487,NA,7681,53,228
96,female,46.084668,NA,7025,64,501
97,female,45.87553655,NA,7295,70,697
98,female,35.94466843,NA,7123,66,234
99,female,39.63992606,NA,7473,64,487
100,male,43.69447473,0,202,26,57
101,male,48.55530482,0,3809,53,2039
102,male,51.33382509,0,3158,41,1368
