"Run","Sens","Strategy","PI","RS"
501,1,"Concealers",5903.93,6.54
501,1,"Revealers",0,0
502,1,"Concealers",5653.95,6.37
502,1,"Revealers",0,0
503,1,"Concealers",6253.51,6.83
503,1,"Revealers",0,0
504,1,"Concealers",6896.17,7.13
504,1,"Revealers",0,0
505,1,"Concealers",3999.92,5.51
505,1,"Revealers",0,0
506,1,"Concealers",6807.57,7.01
506,1,"Revealers",0,0
507,1,"Concealers",7333.81,7.31
507,1,"Revealers",0,0
508,1,"Concealers",5499.09,6.44
508,1,"Revealers",0,0
509,1,"Concealers",5666.01,6.43
509,1,"Revealers",0,0
510,1,"Concealers",5075.94,6.07
510,1,"Revealers",0,0
511,1,"Concealers",5139.35,6.04
511,1,"Revealers",0,0
512,1,"Concealers",6015.92,6.64
512,1,"Revealers",0,0
513,1,"Concealers",5290.85,6.17
513,1,"Revealers",0,0
514,1,"Concealers",4514.84,5.75
514,1,"Revealers",0,0
515,1,"Concealers",4875.93,6.11
515,1,"Revealers",0,0
516,1,"Concealers",6862.78,7.11
516,1,"Revealers",0,0
517,1,"Concealers",6087.14,6.7
517,1,"Revealers",0,0
518,1,"Concealers",5672.67,6.49
518,1,"Revealers",0,0
519,1,"Concealers",5843.89,6.52
519,1,"Revealers",0,0
520,1,"Concealers",4611.58,5.82
520,1,"Revealers",0,0
521,1,"Concealers",4713.32,5.9
521,1,"Revealers",0,0
522,1,"Concealers",6859.96,7.04
522,1,"Revealers",0,0
523,1,"Concealers",5390.29,6.3
523,1,"Revealers",0,0
524,1,"Concealers",6788.17,7.08
524,1,"Revealers",0,0
525,1,"Concealers",6069.29,6.64
525,1,"Revealers",0,0
526,1,"Concealers",6247.81,6.78
526,1,"Revealers",0,0
527,1,"Concealers",5879.4,6.45
527,1,"Revealers",0,0
528,1,"Concealers",5985.29,6.67
528,1,"Revealers",0,0
529,1,"Concealers",7138.44,7.22
529,1,"Revealers",0,0
530,1,"Concealers",6599.81,6.95
530,1,"Revealers",0,0
531,1,"Concealers",5859.23,6.54
531,1,"Revealers",0,0
532,1,"Concealers",5501.59,6.38
532,1,"Revealers",0,0
533,1,"Concealers",5218.63,6.24
533,1,"Revealers",0,0
