"Run","Sens","Strategy","PI","RS"
1,11,"Concealers",9423.3,8.82
1,11,"Revealers",6518.08,7.5
2,11,"Concealers",8884,8.38
2,11,"Revealers",4860.42,6.68
3,11,"Concealers",7007.56,7.1
3,11,"Revealers",3895.8,6.02
4,11,"Concealers",8615.88,8.32
4,11,"Revealers",4841,6.62
5,11,"Concealers",8632.88,8.46
5,11,"Revealers",5301.1,6.92
6,11,"Concealers",7752.86,7.32
6,11,"Revealers",3288.96,5.8
7,11,"Concealers",7857.32,7.92
7,11,"Revealers",4929.66,6.66
8,11,"Concealers",7256.2,7.74
8,11,"Revealers",5592.08,6.94
9,11,"Concealers",8577.08,8.42
9,11,"Revealers",5367.58,6.94
10,11,"Concealers",7401.92,7.36
10,11,"Revealers",5656.5,6.98
11,11,"Concealers",6929.42,6.98
11,11,"Revealers",3448.82,5.86
12,11,"Concealers",7206.96,7.86
12,11,"Revealers",7937.82,8.14
13,11,"Concealers",7534.7,7.46
13,11,"Revealers",4204.48,6.26
14,11,"Concealers",6633.18,6.28
14,11,"Revealers",1856.44,5.06
15,11,"Concealers",8107.7,8.26
15,11,"Revealers",7805.4,8.12
16,11,"Concealers",7521.22,7.04
16,11,"Revealers",2653.34,5.48
17,11,"Concealers",7117.08,6.96
17,11,"Revealers",3338.84,5.74
18,11,"Concealers",9153.7,8.74
18,11,"Revealers",5865.56,7.24
19,11,"Concealers",8028.2,7.56
19,11,"Revealers",3480.84,5.86
20,11,"Concealers",7899,8.1
20,11,"Revealers",8492.22,8.46
21,11,"Concealers",8090.84,7.72
21,11,"Revealers",3983.38,6.14
22,11,"Concealers",8237.66,8.02
22,11,"Revealers",3847.5,6.1
23,11,"Concealers",7545.92,6.94
23,11,"Revealers",2631.36,5.4
24,11,"Concealers",7549.58,7.96
24,11,"Revealers",7841.52,8.12
25,11,"Concealers",6531.3,6.3
25,11,"Revealers",2745.84,5.46
26,11,"Concealers",7888.68,7.34
26,11,"Revealers",3074.08,5.68
27,11,"Concealers",7684.7,7.28
27,11,"Revealers",2862.2,5.48
28,11,"Concealers",9499.92,8.84
28,11,"Revealers",7450.2,7.88
29,11,"Concealers",7067.44,7.54
29,11,"Revealers",4303.74,6.34
30,11,"Concealers",7480.96,7.26
30,11,"Revealers",4108.86,6.24
31,11,"Concealers",6428.5,6.1
31,11,"Revealers",2584.58,5.32
32,11,"Concealers",7299.46,7.24
32,11,"Revealers",4153.58,6.2
33,11,"Concealers",7759.66,8.16
33,11,"Revealers",7563.26,7.98
34,11,"Concealers",8752.04,8.5
34,11,"Revealers",4804.3,6.56
35,11,"Concealers",6775.12,6.08
35,11,"Revealers",2116.18,5.16
36,11,"Concealers",6521.52,6.28
36,11,"Revealers",1795.14,5.02
37,11,"Concealers",7595.54,7.34
37,11,"Revealers",4176.06,6.34
38,11,"Concealers",7041.36,6.76
38,11,"Revealers",3093.72,5.7
39,11,"Concealers",8154.2,8.16
39,11,"Revealers",6272.2,7.38
40,11,"Concealers",6788.06,6.38
40,11,"Revealers",2163.68,5.18
41,11,"Concealers",6435.86,6.5
41,11,"Revealers",3398.38,5.84
42,11,"Concealers",7406.68,7.38
42,11,"Revealers",4180.26,6.2
43,11,"Concealers",6961.98,6.48
43,11,"Revealers",2269.5,5.26
44,11,"Concealers",7042.72,6.9
44,11,"Revealers",4130.1,6.14
45,11,"Concealers",8322.96,8.28
45,11,"Revealers",7452.34,7.9
46,11,"Concealers",8572.28,8.48
46,11,"Revealers",6299.92,7.38
47,11,"Concealers",6944.98,6.82
47,11,"Revealers",2265.76,5.32
48,11,"Concealers",8323.52,8.38
48,11,"Revealers",6797.88,7.66
49,11,"Concealers",7526.88,7.24
49,11,"Revealers",2709.48,5.46
50,11,"Concealers",7309.1,7.8
50,11,"Revealers",5166.84,6.8
51,11,"Concealers",6670.78,6.2
51,11,"Revealers",2499.68,5.36
52,11,"Concealers",7905.5,8.16
52,11,"Revealers",7635.74,8.02
53,11,"Concealers",7157.64,7.42
53,11,"Revealers",4384.94,6.38
54,11,"Concealers",8409.48,8.24
54,11,"Revealers",4501.04,6.56
55,11,"Concealers",7784.76,8.12
55,11,"Revealers",7768.08,8.08
56,11,"Concealers",6586.92,6
56,11,"Revealers",1732.22,4.88
57,11,"Concealers",8362.72,7.3
57,11,"Revealers",2741.88,5.46
58,11,"Concealers",6927.84,6.76
58,11,"Revealers",2629.6,5.4
59,11,"Concealers",6549.36,6.34
59,11,"Revealers",1996.98,5.14
60,11,"Concealers",6815.68,6.42
60,11,"Revealers",2187.66,5.16
61,11,"Concealers",6422.2,6.26
61,11,"Revealers",2217.18,5.24
62,11,"Concealers",8216.42,8.28
62,11,"Revealers",6964.44,7.7
63,11,"Concealers",6762.48,6.6
63,11,"Revealers",2921.86,5.52
64,11,"Concealers",7660.26,7.24
64,11,"Revealers",4380.32,6.3
65,11,"Concealers",7453.7,7.22
65,11,"Revealers",2699.82,5.5
66,11,"Concealers",7403.84,7.9
66,11,"Revealers",8104.56,8.24
67,11,"Concealers",7191.06,6.38
67,11,"Revealers",2343.84,5.3
68,11,"Concealers",7384.98,7.88
68,11,"Revealers",7793.38,8.04
69,11,"Concealers",8281.12,8.36
69,11,"Revealers",7072.4,7.7
70,11,"Concealers",8771.26,8.34
70,11,"Revealers",4260.56,6.34
71,11,"Concealers",7509.02,8.04
71,11,"Revealers",8223.46,8.28
72,11,"Concealers",7158.9,6.78
72,11,"Revealers",3771.84,5.96
73,11,"Concealers",6527.16,7.58
73,11,"Revealers",7927.46,8.16
74,11,"Concealers",7837.36,7.04
74,11,"Revealers",2473.14,5.4
75,11,"Concealers",9345.16,8.8
75,11,"Revealers",7253.32,7.82
76,11,"Concealers",8847.68,8.58
76,11,"Revealers",6897.92,7.64
77,11,"Concealers",8144.5,8.2
77,11,"Revealers",7922.5,8.06
78,11,"Concealers",6360.86,6.4
78,11,"Revealers",2574.36,5.38
79,11,"Concealers",6598.88,6.16
79,11,"Revealers",1960.76,5.14
80,11,"Concealers",7183.08,6.9
80,11,"Revealers",3082.96,5.62
81,11,"Concealers",6689.72,6.86
81,11,"Revealers",4575.7,6.38
82,11,"Concealers",7804.84,7.52
82,11,"Revealers",3450.06,5.94
83,11,"Concealers",7441.7,6.84
83,11,"Revealers",2703.9,5.46
84,11,"Concealers",7579,7.06
84,11,"Revealers",2804.58,5.58
85,11,"Concealers",7260.14,6.94
85,11,"Revealers",4350.68,6.24
86,11,"Concealers",7440.86,7
86,11,"Revealers",2271.98,5.3
87,11,"Concealers",6728.06,6.34
87,11,"Revealers",2600.54,5.4
88,11,"Concealers",8555.76,8.4
88,11,"Revealers",6419.32,7.46
89,11,"Concealers",8952.74,8.64
89,11,"Revealers",7920.58,8.12
90,11,"Concealers",7074.38,6.46
90,11,"Revealers",2028.92,5.06
91,11,"Concealers",6601.18,6.2
91,11,"Revealers",3093.84,5.6
92,11,"Concealers",9162.18,8.62
92,11,"Revealers",6617.48,7.54
93,11,"Concealers",7783.16,8.06
93,11,"Revealers",6949.32,7.74
94,11,"Concealers",7543.9,7.5
94,11,"Revealers",3393.3,5.74
95,11,"Concealers",6493.22,6.48
95,11,"Revealers",3212.96,5.74
96,11,"Concealers",7066.86,6.4
96,11,"Revealers",2802.78,5.42
97,11,"Concealers",7675.56,7.96
97,11,"Revealers",6190.72,7.24
98,11,"Concealers",7256.9,7.82
98,11,"Revealers",8004.66,8.18
99,11,"Concealers",6943.38,7.66
99,11,"Revealers",8028.88,8.24
100,11,"Concealers",8608.52,8.56
100,11,"Revealers",6808.34,7.72
601,21,"Concealers",8032.96,7.66
601,21,"Revealers",6754.08,6.94
602,21,"Concealers",7321.66,7.14
602,21,"Revealers",4490.62,6.04
603,21,"Concealers",7469.84,7.32
603,21,"Revealers",5372.56,6.32
604,21,"Concealers",7925.44,7.66
604,21,"Revealers",6745.28,6.94
605,21,"Concealers",6338.72,6.58
605,21,"Revealers",3916.26,5.66
606,21,"Concealers",6474.34,6.72
606,21,"Revealers",3854.46,5.68
607,21,"Concealers",7722.92,7.54
607,21,"Revealers",7069.2,7.26
608,21,"Concealers",6962.54,7.06
608,21,"Revealers",5098.48,6.3
609,21,"Concealers",7115.98,7.2
609,21,"Revealers",4825.24,6.18
610,21,"Concealers",6356.94,6.8
610,21,"Revealers",4727.94,6.1
611,21,"Concealers",7077.74,7.08
611,21,"Revealers",4613.64,6.06
612,21,"Concealers",6593.58,6.84
612,21,"Revealers",5102.7,6.26
613,21,"Concealers",7048.32,7.1
613,21,"Revealers",4812.16,6.08
614,21,"Concealers",7049.84,7.08
614,21,"Revealers",5212.3,6.14
615,21,"Concealers",6776.42,7.02
615,21,"Revealers",4195.9,5.8
616,21,"Concealers",7500.82,7.08
616,21,"Revealers",4748.16,6.06
617,21,"Concealers",8738.64,7.98
617,21,"Revealers",6073.5,6.66
618,21,"Concealers",7433.26,7.4
618,21,"Revealers",6573.38,6.86
619,21,"Concealers",7338.94,7.34
619,21,"Revealers",5127.7,6.3
620,21,"Concealers",7164.08,7.02
620,21,"Revealers",4297.74,5.84
621,21,"Concealers",7054.84,7.04
621,21,"Revealers",4630.22,5.98
622,21,"Concealers",7243.84,7.32
622,21,"Revealers",4440.34,6
623,21,"Concealers",6044.04,6.54
623,21,"Revealers",3738.04,5.62
624,21,"Concealers",7649.78,7.52
624,21,"Revealers",6610.38,6.96
625,21,"Concealers",7199.3,7.18
625,21,"Revealers",4962.9,6.2
626,21,"Concealers",7414.52,7.2
626,21,"Revealers",4519.32,5.8
627,21,"Concealers",8297.48,7.88
627,21,"Revealers",7341.62,7.32
628,21,"Concealers",7034.86,7.26
628,21,"Revealers",5763.96,6.66
629,21,"Concealers",7880.88,7.42
629,21,"Revealers",4664.44,6.08
630,21,"Concealers",7285.22,7.44
630,21,"Revealers",5873.2,6.58
631,21,"Concealers",7200.92,7.18
631,21,"Revealers",6378.38,6.66
632,21,"Concealers",6661.52,7
632,21,"Revealers",5761.98,6.54
633,21,"Concealers",7595.02,7.38
633,21,"Revealers",5379.94,6.4
634,21,"Concealers",7468.52,7.42
634,21,"Revealers",5417.4,6.44
635,21,"Concealers",6945.86,7.1
635,21,"Revealers",5023.02,6.16
636,21,"Concealers",7960.56,7.62
636,21,"Revealers",6175.04,6.84
637,21,"Concealers",8414.04,7.9
637,21,"Revealers",5675.2,6.48
638,21,"Concealers",8478.84,8.02
638,21,"Revealers",6597.54,6.92
639,21,"Concealers",7460.74,7.5
639,21,"Revealers",6462.06,6.88
640,21,"Concealers",6938.82,7.06
640,21,"Revealers",5863.62,6.5
641,21,"Concealers",6863.36,6.8
641,21,"Revealers",3854.94,5.54
642,21,"Concealers",5684.2,6.44
642,21,"Revealers",3592.34,5.5
643,21,"Concealers",7778,7.56
643,21,"Revealers",6150.96,6.9
644,21,"Concealers",6525.46,6.84
644,21,"Revealers",4282.92,5.92
645,21,"Concealers",6254.62,6.78
645,21,"Revealers",3857.04,5.6
646,21,"Concealers",6581.98,6.96
646,21,"Revealers",5201.6,6.34
647,21,"Concealers",7255.5,7.38
647,21,"Revealers",6859.1,7.22
648,21,"Concealers",7600.78,7.54
648,21,"Revealers",5664.24,6.5
649,21,"Concealers",7246.78,7.38
649,21,"Revealers",5993.32,6.62
650,21,"Concealers",6789.06,6.94
650,21,"Revealers",4179.82,5.68
651,21,"Concealers",6973.2,7.22
651,21,"Revealers",5555.12,6.48
652,21,"Concealers",5697.64,6.16
652,21,"Revealers",3325.24,5.3
653,21,"Concealers",8161.62,7.74
653,21,"Revealers",6276.08,6.84
654,21,"Concealers",8011.76,7.76
654,21,"Revealers",5985.4,6.76
655,21,"Concealers",7340.7,7.12
655,21,"Revealers",4534.04,5.8
656,21,"Concealers",7564.84,7.52
656,21,"Revealers",5610.56,6.54
657,21,"Concealers",7689.78,7.6
657,21,"Revealers",5538.46,6.52
658,21,"Concealers",8053.7,7.68
658,21,"Revealers",4967.88,6.12
659,21,"Concealers",8119.16,7.72
659,21,"Revealers",6808,7.02
660,21,"Concealers",6479.5,6.74
660,21,"Revealers",3367.96,5.36
661,21,"Concealers",6848.74,6.84
661,21,"Revealers",3892.84,5.52
662,21,"Concealers",7019.92,7.14
662,21,"Revealers",5739.16,6.58
663,21,"Concealers",8447.04,7.9
663,21,"Revealers",5133.32,6.3
664,21,"Concealers",7708.14,7.4
664,21,"Revealers",5306.2,6.36
665,21,"Concealers",7204.6,7.34
665,21,"Revealers",4640.8,6.02
666,21,"Concealers",6313.92,6.7
666,21,"Revealers",3327.86,5.36
667,21,"Concealers",6041.44,6.54
667,21,"Revealers",4830.34,6.04
668,21,"Concealers",7655.02,7.5
668,21,"Revealers",6820.7,7.08
