"Run","Sens","Strategy","PI","RS"
2401,1,"Concealers",0,0
2401,1,"Revealers",0,0
2402,1,"Concealers",0,0
2402,1,"Revealers",0,0
2403,1,"Concealers",0,0
2403,1,"Revealers",0,0
2404,1,"Concealers",0,0
2404,1,"Revealers",0,0
2405,1,"Concealers",0,0
2405,1,"Revealers",0,0
2406,1,"Concealers",0,0
2406,1,"Revealers",0,0
2407,1,"Concealers",0,0
2407,1,"Revealers",0,0
2408,1,"Concealers",0,0
2408,1,"Revealers",0,0
2409,1,"Concealers",0,0
2409,1,"Revealers",0,0
2410,1,"Concealers",0,0
2410,1,"Revealers",0,0
2411,1,"Concealers",0,0
2411,1,"Revealers",0,0
2412,1,"Concealers",0,0
2412,1,"Revealers",0,0
2413,1,"Concealers",0,0
2413,1,"Revealers",0,0
2414,1,"Concealers",0,0
2414,1,"Revealers",0,0
2415,1,"Concealers",0,0
2415,1,"Revealers",0,0
2416,1,"Concealers",0,0
2416,1,"Revealers",0,0
2417,1,"Concealers",0,0
2417,1,"Revealers",0,0
2418,1,"Concealers",0,0
2418,1,"Revealers",0,0
2419,1,"Concealers",0,0
2419,1,"Revealers",0,0
2420,1,"Concealers",0,0
2420,1,"Revealers",0,0
2421,1,"Concealers",0,0
2421,1,"Revealers",0,0
2422,1,"Concealers",0,0
2422,1,"Revealers",0,0
2423,1,"Concealers",0,0
2423,1,"Revealers",0,0
2424,1,"Concealers",0,0
2424,1,"Revealers",0,0
2425,1,"Concealers",0,0
2425,1,"Revealers",0,0
2426,1,"Concealers",0,0
2426,1,"Revealers",0,0
2427,1,"Concealers",0,0
2427,1,"Revealers",0,0
2428,1,"Concealers",0,0
2428,1,"Revealers",0,0
2429,1,"Concealers",0,0
2429,1,"Revealers",0,0
2430,1,"Concealers",0,0
2430,1,"Revealers",0,0
2431,1,"Concealers",0,0
2431,1,"Revealers",0,0
2432,1,"Concealers",0,0
2432,1,"Revealers",0,0
2433,1,"Concealers",0,0
2433,1,"Revealers",0,0
2434,1,"Concealers",0,0
2434,1,"Revealers",0,0
2435,1,"Concealers",0,0
2435,1,"Revealers",0,0
2436,1,"Concealers",0,0
2436,1,"Revealers",0,0
2437,1,"Concealers",0,0
2437,1,"Revealers",0,0
2438,1,"Concealers",0,0
2438,1,"Revealers",0,0
2439,1,"Concealers",0,0
2439,1,"Revealers",0,0
2440,1,"Concealers",0,0
2440,1,"Revealers",0,0
2441,1,"Concealers",0,0
2441,1,"Revealers",0,0
2442,1,"Concealers",0,0
2442,1,"Revealers",0,0
2443,1,"Concealers",0,0
2443,1,"Revealers",0,0
2444,1,"Concealers",0,0
2444,1,"Revealers",0,0
2445,1,"Concealers",0,0
2445,1,"Revealers",0,0
2446,1,"Concealers",0,0
2446,1,"Revealers",0,0
2447,1,"Concealers",0,0
2447,1,"Revealers",0,0
2448,1,"Concealers",0,0
2448,1,"Revealers",0,0
2449,1,"Concealers",0,0
2449,1,"Revealers",0,0
2450,1,"Concealers",0,0
2450,1,"Revealers",0,0
2451,1,"Concealers",0,0
2451,1,"Revealers",0,0
2452,1,"Concealers",0,0
2452,1,"Revealers",0,0
2453,1,"Concealers",0,0
2453,1,"Revealers",0,0
2454,1,"Concealers",0,0
2454,1,"Revealers",0,0
2455,1,"Concealers",0,0
2455,1,"Revealers",0,0
2456,1,"Concealers",0,0
2456,1,"Revealers",0,0
2457,1,"Concealers",0,0
2457,1,"Revealers",0,0
2458,1,"Concealers",0,0
2458,1,"Revealers",0,0
2459,1,"Concealers",0,0
2459,1,"Revealers",0,0
2460,1,"Concealers",0,0
2460,1,"Revealers",0,0
2461,1,"Concealers",0,0
2461,1,"Revealers",0,0
2462,1,"Concealers",0,0
2462,1,"Revealers",0,0
2463,1,"Concealers",0,0
2463,1,"Revealers",0,0
2464,1,"Concealers",0,0
2464,1,"Revealers",0,0
2465,1,"Concealers",0,0
2465,1,"Revealers",0,0
2466,1,"Concealers",0,0
2466,1,"Revealers",0,0
2467,1,"Concealers",0,0
2467,1,"Revealers",0,0
2468,1,"Concealers",0,0
2468,1,"Revealers",0,0
2469,1,"Concealers",0,0
2469,1,"Revealers",0,0
2470,1,"Concealers",0,0
2470,1,"Revealers",0,0
2471,1,"Concealers",0,0
2471,1,"Revealers",0,0
2472,1,"Concealers",0,0
2472,1,"Revealers",0,0
2473,1,"Concealers",0,0
2473,1,"Revealers",0,0
2474,1,"Concealers",0,0
2474,1,"Revealers",0,0
2475,1,"Concealers",0,0
2475,1,"Revealers",0,0
2476,1,"Concealers",0,0
2476,1,"Revealers",0,0
2477,1,"Concealers",0,0
2477,1,"Revealers",0,0
2478,1,"Concealers",0,0
2478,1,"Revealers",0,0
2479,1,"Concealers",0,0
2479,1,"Revealers",0,0
2480,1,"Concealers",0,0
2480,1,"Revealers",0,0
2481,1,"Concealers",0,0
2481,1,"Revealers",0,0
2482,1,"Concealers",0,0
2482,1,"Revealers",0,0
2483,1,"Concealers",0,0
2483,1,"Revealers",0,0
2484,1,"Concealers",0,0
2484,1,"Revealers",0,0
2485,1,"Concealers",0,0
2485,1,"Revealers",0,0
2486,1,"Concealers",0,0
2486,1,"Revealers",0,0
2487,1,"Concealers",0,0
2487,1,"Revealers",0,0
2488,1,"Concealers",0,0
2488,1,"Revealers",0,0
2489,1,"Concealers",0,0
2489,1,"Revealers",0,0
2490,1,"Concealers",0,0
2490,1,"Revealers",0,0
2491,1,"Concealers",0,0
2491,1,"Revealers",0,0
2492,1,"Concealers",0,0
2492,1,"Revealers",0,0
2493,1,"Concealers",0,0
2493,1,"Revealers",0,0
2494,1,"Concealers",0,0
2494,1,"Revealers",0,0
2495,1,"Concealers",0,0
2495,1,"Revealers",0,0
2496,1,"Concealers",0,0
2496,1,"Revealers",0,0
2497,1,"Concealers",0,0
2497,1,"Revealers",0,0
2498,1,"Concealers",0,0
2498,1,"Revealers",0,0
2499,1,"Concealers",0,0
2499,1,"Revealers",0,0
2500,1,"Concealers",0,0
2500,1,"Revealers",0,0
4301,0.75,"Concealers",2788.52,5.09333333333333
4301,0.75,"Revealers",2722.77333333333,5.16
4302,0.75,"Concealers",3066.52,5.2
4302,0.75,"Revealers",2467.37333333333,4.97333333333333
4303,0.75,"Concealers",2914.50666666667,5.22666666666667
4303,0.75,"Revealers",2551.72,5.05333333333333
4304,0.75,"Concealers",2828.02666666667,5.29333333333333
4304,0.75,"Revealers",2397.76,5.01333333333333
4305,0.75,"Concealers",2844.90666666667,5.12
4305,0.75,"Revealers",2220.50666666667,4.72
