"Run","Sens","Strategy","PI","RS"
1,100,"Concealers",7644.72,7.28
1,100,"Revealers",5900.08,6.32
2,100,"Concealers",6833.64,6.64
2,100,"Revealers",4060.12,5.2
3,100,"Concealers",8929.24,7.76
3,100,"Revealers",6019.64,6.12
4,100,"Concealers",6553.92,6.64
4,100,"Revealers",4594.4,5.48
5,100,"Concealers",7715.36,7.16
5,100,"Revealers",5663.68,6.16
6,100,"Concealers",6942,6.72
6,100,"Revealers",4725.44,5.56
7,100,"Concealers",7414.88,6.96
7,100,"Revealers",4704.92,5.36
8,100,"Concealers",6871.68,6.72
8,100,"Revealers",5296.36,5.96
9,100,"Concealers",8064.88,7.32
9,100,"Revealers",5064,5.76
10,100,"Concealers",8513.36,7.52
10,100,"Revealers",5746.36,6.08
11,100,"Concealers",5341.52,5.8
11,100,"Revealers",2852.2,4.48
12,100,"Concealers",7340.04,6.96
12,100,"Revealers",5535.44,6.12
13,100,"Concealers",6902.48,6.64
13,100,"Revealers",5705.84,6.12
14,100,"Concealers",8334.72,7.48
14,100,"Revealers",6527.76,6.6
15,100,"Concealers",6515.48,6.64
15,100,"Revealers",5093.52,5.96
16,100,"Concealers",8503.88,7.48
16,100,"Revealers",6557.52,6.64
17,100,"Concealers",7277.76,6.76
17,100,"Revealers",4372.72,5.2
18,100,"Concealers",7832.84,7.24
18,100,"Revealers",6132.52,6.36
19,100,"Concealers",7688.36,7.16
19,100,"Revealers",6097.12,6.44
20,100,"Concealers",8103.28,7.4
20,100,"Revealers",5624.88,6.2
21,100,"Concealers",7976.24,7.28
21,100,"Revealers",6831.92,6.68
22,100,"Concealers",7364.36,6.84
22,100,"Revealers",5363.28,5.88
23,100,"Concealers",7904.28,7.28
23,100,"Revealers",4723.28,5.6
24,100,"Concealers",7223.36,7
24,100,"Revealers",4643.92,5.56
25,100,"Concealers",8930.88,7.56
25,100,"Revealers",5766.32,6.12
26,100,"Concealers",7896.48,7.32
26,100,"Revealers",5780.12,6.16
27,100,"Concealers",7994.88,7.28
27,100,"Revealers",3918.12,4.92
28,100,"Concealers",8336.12,7.36
28,100,"Revealers",5955.48,6.08
29,100,"Concealers",7808.08,7.04
29,100,"Revealers",6411.08,6.36
30,100,"Concealers",6970,6.68
30,100,"Revealers",4230.52,5.6
31,100,"Concealers",8804.96,7.68
31,100,"Revealers",6128.32,6.56
32,100,"Concealers",8076.64,7.24
