"Run","Sens","Strategy","PI","RS"
1,0,"Concealers",7488.9,7.34
1,0,"Revealers",4607.04,6
2,0,"Concealers",7261.36,7.22
2,0,"Revealers",4580.76,6
3,0,"Concealers",7168.46,7.18
3,0,"Revealers",4808.74,6.08
4,0,"Concealers",7078.18,7.06
4,0,"Revealers",4551.32,5.86
5,0,"Concealers",7803,7.56
5,0,"Revealers",5580.12,6.54
6,0,"Concealers",8015.32,7.72
6,0,"Revealers",4529.26,6.04
7,0,"Concealers",7546.48,7.46
7,0,"Revealers",5069.06,6.24
8,0,"Concealers",6951.24,7.04
8,0,"Revealers",3850.2,5.66
9,0,"Concealers",7162.96,7.1
9,0,"Revealers",4183.58,5.92
10,0,"Concealers",7430.16,7.44
10,0,"Revealers",4487.12,5.92
11,0,"Concealers",6945.72,7.02
11,0,"Revealers",4452.32,5.92
12,0,"Concealers",7531.8,7.38
12,0,"Revealers",4172.66,5.84
13,0,"Concealers",7822.72,7.54
13,0,"Revealers",4607.68,6.08
14,0,"Concealers",8409.86,7.76
14,0,"Revealers",5337.92,6.24
15,0,"Concealers",6686.86,6.98
15,0,"Revealers",3966.38,5.72
16,0,"Concealers",7258.34,7.26
16,0,"Revealers",5063.82,6.18
17,0,"Concealers",8284.28,7.9
17,0,"Revealers",5679.34,6.48
18,0,"Concealers",7164.12,7.14
18,0,"Revealers",3903.36,5.66
19,0,"Concealers",7030.62,7.02
19,0,"Revealers",3573.5,5.44
20,0,"Concealers",8470.96,7.84
20,0,"Revealers",5346.44,6.38
21,0,"Concealers",8379.56,7.88
21,0,"Revealers",5816.58,6.72
22,0,"Concealers",7858.92,7.52
22,0,"Revealers",4817.1,6.16
23,0,"Concealers",7471.86,7.32
23,0,"Revealers",4405.6,5.78
24,0,"Concealers",7912.54,7.6
24,0,"Revealers",4478.46,5.96
25,0,"Concealers",5982.54,6.5
25,0,"Revealers",3806.06,5.5
26,0,"Concealers",7293,7.16
26,0,"Revealers",5055.3,6.36
27,0,"Concealers",7607.44,7.24
27,0,"Revealers",4209.54,5.74
28,0,"Concealers",5657.92,6.2
28,0,"Revealers",2850,4.96
29,0,"Concealers",8325.8,7.82
29,0,"Revealers",5818.76,6.58
30,0,"Concealers",7966.62,7.46
30,0,"Revealers",4427.38,5.86
31,0,"Concealers",9018.58,8.16
31,0,"Revealers",5407.54,6.38
32,0,"Concealers",6800.34,6.92
32,0,"Revealers",4073,5.66
33,0,"Concealers",7406.02,7.38
33,0,"Revealers",5324.12,6.32
34,0,"Concealers",6455.06,6.64
34,0,"Revealers",3567.5,5.44
35,0,"Concealers",7488.5,7.26
35,0,"Revealers",4021.56,5.74
36,0,"Concealers",7598.34,7.34
36,0,"Revealers",5015.96,6.2
37,0,"Concealers",6190.7,6.56
37,0,"Revealers",3728.38,5.54
38,0,"Concealers",7446.66,7.44
38,0,"Revealers",6013.86,6.72
39,0,"Concealers",7710.72,7.44
39,0,"Revealers",5176.12,6.2
40,0,"Concealers",7349.14,7.34
40,0,"Revealers",4885.86,6.14
41,0,"Concealers",6391.12,6.68
41,0,"Revealers",3551.62,5.34
42,0,"Concealers",7873.62,7.54
42,0,"Revealers",4784.42,6.12
43,0,"Concealers",8860.22,7.92
43,0,"Revealers",5393.86,6.36
44,0,"Concealers",7653.28,7.24
44,0,"Revealers",4520.86,5.96
45,0,"Concealers",7795.3,7.54
45,0,"Revealers",4553.88,6
46,0,"Concealers",6763.22,6.64
46,0,"Revealers",3976.1,5.62
47,0,"Concealers",6680.12,6.76
47,0,"Revealers",4461.12,5.96
48,0,"Concealers",7294.18,7.22
48,0,"Revealers",4975.38,6.08
49,0,"Concealers",7669.98,7.36
49,0,"Revealers",4513.2,5.86
50,0,"Concealers",7289.76,7.22
50,0,"Revealers",4512.46,6.06
51,0,"Concealers",7302.46,7.08
51,0,"Revealers",4014.82,5.76
52,0,"Concealers",7966.6,7.52
