"Run","Sens","Strategy","PI","RS"
1,0,"Concealers",6609.64,6.92
1,0,"Revealers",3972.2,5.64
2,0,"Concealers",8298.78,7.8
2,0,"Revealers",5606.62,6.52
3,0,"Concealers",6896.22,6.96
3,0,"Revealers",4219.6,5.84
4,0,"Concealers",7602.72,7.56
4,0,"Revealers",5655.66,6.54
5,0,"Concealers",7524.18,7.32
5,0,"Revealers",6065.8,6.7
6,0,"Concealers",7611.6,7.4
6,0,"Revealers",5168.6,6.3
7,0,"Concealers",8014.22,7.6
7,0,"Revealers",6676.18,7.08
8,0,"Concealers",7648.6,7.56
8,0,"Revealers",6538.48,7.04
9,0,"Concealers",7632.62,7.46
9,0,"Revealers",5593.94,6.54
10,0,"Concealers",7811.76,7.52
10,0,"Revealers",5691.68,6.6
11,0,"Concealers",8321.82,7.72
11,0,"Revealers",4943.26,6.3
12,0,"Concealers",7320.02,7.22
12,0,"Revealers",4268.9,5.86
13,0,"Concealers",7240.06,7.14
13,0,"Revealers",5383.66,6.36
14,0,"Concealers",8669.5,7.96
14,0,"Revealers",5197.42,6.3
15,0,"Concealers",8014.3,7.74
15,0,"Revealers",7018,7.22
16,0,"Concealers",7055.36,7.1
16,0,"Revealers",4616.56,6.02
17,0,"Concealers",6188.76,6.64
17,0,"Revealers",4716.12,5.94
18,0,"Concealers",7072.12,7.1
18,0,"Revealers",5487.62,6.42
19,0,"Concealers",7437.02,7.24
19,0,"Revealers",4699.02,5.9
20,0,"Concealers",7994.16,7.68
20,0,"Revealers",5691.92,6.6
21,0,"Concealers",8165.62,7.72
21,0,"Revealers",5733.64,6.6
22,0,"Concealers",5902.78,6.54
22,0,"Revealers",4531.82,5.96
23,0,"Concealers",6773.06,6.88
23,0,"Revealers",5028.02,6.14
24,0,"Concealers",8006.04,7.72
24,0,"Revealers",6920.04,7.04
25,0,"Concealers",7255.18,7.14
25,0,"Revealers",4342.74,5.8
26,0,"Concealers",6443.5,6.66
26,0,"Revealers",3860.22,5.52
27,0,"Concealers",8115.46,7.6
27,0,"Revealers",4902.02,6.14
28,0,"Concealers",6840.74,6.94
28,0,"Revealers",5188.88,6.26
29,0,"Concealers",8053.5,7.6
29,0,"Revealers",4779.66,6.08
30,0,"Concealers",8330.78,7.76
30,0,"Revealers",4982.88,6.1
31,0,"Concealers",6622.04,6.94
31,0,"Revealers",5825.7,6.58
32,0,"Concealers",7905.58,7.64
32,0,"Revealers",6407.84,6.84
