"Run","Sens","Strategy","PI","RS"
1,0,"Concealers",10098.74,8.44
1,0,"Revealers",7028.72,7.16
2,0,"Concealers",9440.02,8.32
2,0,"Revealers",7745.04,7.34
3,0,"Concealers",9842.1,8.34
3,0,"Revealers",7421.36,7.34
4,0,"Concealers",10178.54,8.6
4,0,"Revealers",7078.32,7.16
5,0,"Concealers",8840.34,8.12
5,0,"Revealers",8646.38,7.78
6,0,"Concealers",9501.72,8.32
6,0,"Revealers",8046.6,7.7
7,0,"Concealers",9377,8.36
7,0,"Revealers",8146.12,7.6
8,0,"Concealers",9826.32,8.38
8,0,"Revealers",7742.94,7.52
9,0,"Concealers",10396.56,8.62
9,0,"Revealers",6622.86,7.02
10,0,"Concealers",8755.98,8.04
10,0,"Revealers",8502.22,7.58
11,0,"Concealers",9980.94,8.42
11,0,"Revealers",6322.3,6.84
12,0,"Concealers",9204.06,8.32
12,0,"Revealers",8163.88,7.54
13,0,"Concealers",9769.94,8.34
13,0,"Revealers",7113.58,7.16
14,0,"Concealers",9715.38,8.2
14,0,"Revealers",7037.68,7.12
15,0,"Concealers",9928.8,8.42
15,0,"Revealers",7376.56,7.28
16,0,"Concealers",10075,8.56
16,0,"Revealers",7219.8,7.24
17,0,"Concealers",9045.72,8.08
17,0,"Revealers",8443.1,7.64
18,0,"Concealers",9845.14,8.4
18,0,"Revealers",7692.2,7.52
19,0,"Concealers",9574.46,8.22
19,0,"Revealers",7253.46,7.2
20,0,"Concealers",9116.12,8.06
20,0,"Revealers",7452.24,7.24
21,0,"Concealers",9220.14,8.08
21,0,"Revealers",6662.02,6.8
22,0,"Concealers",9883.44,8.44
22,0,"Revealers",7672.22,7.58
23,0,"Concealers",9460.34,8.12
23,0,"Revealers",7128.12,7.26
24,0,"Concealers",9107.06,8.08
24,0,"Revealers",8194.78,7.52
25,0,"Concealers",9858.88,8.6
25,0,"Revealers",7610.34,7.48
26,0,"Concealers",8939.32,7.92
26,0,"Revealers",6356,6.9
27,0,"Concealers",8991.78,8.14
27,0,"Revealers",8369.72,7.72
28,0,"Concealers",9555.14,8.24
28,0,"Revealers",6959.14,7.08
29,0,"Concealers",9438.38,8.34
29,0,"Revealers",8129.04,7.46
30,0,"Concealers",9345.84,8.36
30,0,"Revealers",8233.66,7.68
31,0,"Concealers",9394.24,8.22
31,0,"Revealers",8242.94,7.64
32,0,"Concealers",9856.64,8.52
32,0,"Revealers",7330.68,7.32
33,0,"Concealers",9173.28,8.2
33,0,"Revealers",8358.2,7.7
34,0,"Concealers",8855.34,8.1
34,0,"Revealers",7333.78,7.32
35,0,"Concealers",9226.88,8.08
35,0,"Revealers",8312.9,7.76
36,0,"Concealers",8889.6,8.06
36,0,"Revealers",8617.72,7.82
37,0,"Concealers",9941.9,8.48
37,0,"Revealers",7307.08,7.32
38,0,"Concealers",9497.02,8.32
38,0,"Revealers",7446.1,7.3
39,0,"Concealers",8305.88,7.72
39,0,"Revealers",8822.1,7.86
40,0,"Concealers",10173.88,8.56
40,0,"Revealers",6663.42,7.04
41,0,"Concealers",9060.92,8.18
41,0,"Revealers",8245.4,7.64
42,0,"Concealers",9127.58,8.12
42,0,"Revealers",8223.04,7.66
43,0,"Concealers",9825.58,8.54
43,0,"Revealers",7091.78,7.2
44,0,"Concealers",9589.74,8.28
44,0,"Revealers",6313.1,6.8
45,0,"Concealers",9655.66,8.18
45,0,"Revealers",7428.3,7.38
46,0,"Concealers",9554.96,8.38
46,0,"Revealers",8020.68,7.52
47,0,"Concealers",9366.24,8.2
47,0,"Revealers",6882.48,7.04
48,0,"Concealers",8692.94,7.92
48,0,"Revealers",8228.34,7.44
49,0,"Concealers",9694.38,8.34
49,0,"Revealers",6369.72,6.72
50,0,"Concealers",9403.92,8.28
50,0,"Revealers",7606.32,7.42
51,0,"Concealers",9206.52,8.28
51,0,"Revealers",8572.14,7.74
52,0,"Concealers",9073.8,8.2
52,0,"Revealers",8299.9,7.6
53,0,"Concealers",9873.4,8.38
53,0,"Revealers",6777.6,6.96
54,0,"Concealers",9216.3,8.18
54,0,"Revealers",8078.14,7.56
