"Run","competitor_radius","search_radius","Strategy","PI","RS"
1,2,2,"Concealers",8794.48,8.06
1,2,2,"Revealers",6148.72,6.72
2,2,2,"Concealers",7274.26,7.36
2,2,2,"Revealers",5921.52,6.6
3,2,2,"Concealers",7950.32,7.64
3,2,2,"Revealers",4756.92,6.06
4,2,2,"Concealers",8420.9,7.86
4,2,2,"Revealers",6947.22,7.24
5,2,2,"Concealers",6676.22,6.8
5,2,2,"Revealers",4269.58,5.84
6,2,2,"Concealers",7481.96,7.4
6,2,2,"Revealers",6668.12,7.04
7,2,2,"Concealers",7523.3,7.44
7,2,2,"Revealers",5967.78,6.66
8,2,2,"Concealers",6830.18,6.92
8,2,2,"Revealers",4373.8,5.84
9,2,2,"Concealers",6718.24,6.9
9,2,2,"Revealers",3991.62,5.6
10,2,2,"Concealers",6387.62,6.8
10,2,2,"Revealers",4436.76,5.9
11,2,2,"Concealers",6103.34,6.52
11,2,2,"Revealers",3965.04,5.62
12,2,2,"Concealers",6505.52,6.8
12,2,2,"Revealers",4607.88,5.92
13,2,2,"Concealers",6825.52,7.16
13,2,2,"Revealers",5717.68,6.6
14,2,2,"Concealers",8291.26,7.86
14,2,2,"Revealers",6744.46,7.04
15,2,2,"Concealers",7156.24,7.16
15,2,2,"Revealers",5045.74,6.22
16,2,2,"Concealers",7606.88,7.46
16,2,2,"Revealers",7153.34,7.18
17,2,2,"Concealers",7836.16,7.48
17,2,2,"Revealers",5921.7,6.5
18,2,2,"Concealers",8573.24,7.88
18,2,2,"Revealers",6244.2,6.86
19,2,2,"Concealers",7303.78,7.3
19,2,2,"Revealers",5788.84,6.58
20,2,2,"Concealers",8146.24,7.66
20,2,2,"Revealers",6279.84,6.86
21,2,2,"Concealers",5317,6.04
21,2,2,"Revealers",4137.7,5.6
22,2,2,"Concealers",8671.42,7.88
22,2,2,"Revealers",5954.72,6.7
23,2,2,"Concealers",6369.08,6.68
23,2,2,"Revealers",4881.7,6.08
24,2,2,"Concealers",7925.64,7.56
24,2,2,"Revealers",5529.64,6.42
25,2,2,"Concealers",7020.66,7.18
25,2,2,"Revealers",6378.24,6.82
26,2,2,"Concealers",7797.62,7.38
26,2,2,"Revealers",5403.02,6.42
27,2,2,"Concealers",6401.32,6.76
27,2,2,"Revealers",3677.28,5.54
28,2,2,"Concealers",7894.32,7.72
28,2,2,"Revealers",5839.82,6.62
29,2,2,"Concealers",7428.74,7.38
29,2,2,"Revealers",5820.1,6.62
30,2,2,"Concealers",6788.4,7.04
30,2,2,"Revealers",5330.42,6.12
31,2,2,"Concealers",8524.72,7.92
31,2,2,"Revealers",6274.46,6.88
32,2,2,"Concealers",7298.98,7.28
32,2,2,"Revealers",5116.76,6.24
33,2,2,"Concealers",6929.02,7.06
33,2,2,"Revealers",4590.04,6
34,2,2,"Concealers",7806.72,7.56
34,2,2,"Revealers",6346.78,6.92
35,2,2,"Concealers",7143.56,7.28
35,2,2,"Revealers",6106.28,6.86
36,2,2,"Concealers",8333.96,7.8
36,2,2,"Revealers",5860.94,6.66
37,2,2,"Concealers",7436.44,7.36
37,2,2,"Revealers",6263.16,6.82
38,2,2,"Concealers",7101.8,7.04
38,2,2,"Revealers",5139.54,6.28
39,2,2,"Concealers",7842.52,7.68
39,2,2,"Revealers",6568.98,6.98
40,2,2,"Concealers",8293.18,7.68
40,2,2,"Revealers",5514.2,6.44
41,2,2,"Concealers",7384.98,7.34
41,2,2,"Revealers",5810.92,6.6
42,2,2,"Concealers",6523.64,6.7
42,2,2,"Revealers",4123.76,5.62
43,2,2,"Concealers",7960.44,7.72
43,2,2,"Revealers",6879.28,7.14
44,2,2,"Concealers",7663.32,7.46
44,2,2,"Revealers",5556.42,6.48
45,2,2,"Concealers",7506.32,7.4
45,2,2,"Revealers",6641.42,7.08
46,2,2,"Concealers",7274.2,7.34
46,2,2,"Revealers",6630,7
47,2,2,"Concealers",6885.46,7.02
47,2,2,"Revealers",3761.2,5.56
48,2,2,"Concealers",7360.84,7.2
48,2,2,"Revealers",4819.94,6.14
49,2,2,"Concealers",7431.42,7.32
49,2,2,"Revealers",5728.42,6.46
50,2,2,"Concealers",6715.5,6.9
50,2,2,"Revealers",4508.5,5.88
51,2,2,"Concealers",7389.02,7.36
51,2,2,"Revealers",6418.7,7.02
52,2,2,"Concealers",7509.5,7.42
52,2,2,"Revealers",7367.62,7.22
53,2,2,"Concealers",7417.02,7.3
53,2,2,"Revealers",5335.08,6.3
54,2,2,"Concealers",7113.86,7.06
54,2,2,"Revealers",4693.52,6.04
55,2,2,"Concealers",8441.42,7.84
55,2,2,"Revealers",6582.92,6.96
56,2,2,"Concealers",7144.64,7.26
56,2,2,"Revealers",6397.06,6.88
57,2,2,"Concealers",8553.4,7.84
57,2,2,"Revealers",5588.66,6.58
58,2,2,"Concealers",7790.28,7.54
58,2,2,"Revealers",5583.16,6.52
59,2,2,"Concealers",6645.8,6.9
59,2,2,"Revealers",3916.72,5.6
60,2,2,"Concealers",7166.16,7.26
60,2,2,"Revealers",5550.2,6.42
61,2,2,"Concealers",7517.68,7.38
61,2,2,"Revealers",6399.6,6.78
62,2,2,"Concealers",7869.34,7.42
62,2,2,"Revealers",5526.02,6.34
63,2,2,"Concealers",7799.6,7.58
63,2,2,"Revealers",5568.92,6.52
64,2,2,"Concealers",6984.9,7.18
64,2,2,"Revealers",6582.7,6.9
65,2,2,"Concealers",7772.28,7.54
65,2,2,"Revealers",6076.42,6.74
66,2,2,"Concealers",7851.52,7.6
66,2,2,"Revealers",6104.8,6.8
67,2,2,"Concealers",7917.4,7.46
67,2,2,"Revealers",5075.6,6.34
68,2,2,"Concealers",7893.84,7.66
68,2,2,"Revealers",5974.22,6.8
69,2,2,"Concealers",6205.6,6.6
69,2,2,"Revealers",4196.36,5.78
70,2,2,"Concealers",7143.74,7.16
70,2,2,"Revealers",5884.8,6.6
71,2,2,"Concealers",6607.76,6.94
71,2,2,"Revealers",4641.22,5.96
72,2,2,"Concealers",7895.86,7.54
72,2,2,"Revealers",5561.36,6.4
73,2,2,"Concealers",7586.34,7.34
73,2,2,"Revealers",5032.64,6.18
74,2,2,"Concealers",6998.4,7.3
74,2,2,"Revealers",5207.04,6.28
75,2,2,"Concealers",7320.16,7.3
75,2,2,"Revealers",4648.48,6.04
76,2,2,"Concealers",7862.08,7.58
76,2,2,"Revealers",6305.14,6.74
77,2,2,"Concealers",6021.32,6.38
77,2,2,"Revealers",4085.28,5.66
78,2,2,"Concealers",8002.2,7.66
78,2,2,"Revealers",5217.76,6.26
79,2,2,"Concealers",6841.5,7.02
79,2,2,"Revealers",3958.22,5.54
80,2,2,"Concealers",5321.6,6.02
80,2,2,"Revealers",3433.64,5.24
81,2,2,"Concealers",6471.04,6.7
81,2,2,"Revealers",4369.7,5.84
82,2,2,"Concealers",7656.2,7.54
82,2,2,"Revealers",4900.2,6.18
83,2,2,"Concealers",8027.18,7.64
83,2,2,"Revealers",6770.78,7.06
84,2,2,"Concealers",7737.66,7.54
84,2,2,"Revealers",5769.82,6.64
85,2,2,"Concealers",7350.12,7.44
85,2,2,"Revealers",5919.16,6.68
86,2,2,"Concealers",7168.52,7.08
86,2,2,"Revealers",4887.1,6.02
87,2,2,"Concealers",7970.86,7.7
87,2,2,"Revealers",5552.64,6.6
88,2,2,"Concealers",7635.24,7.44
88,2,2,"Revealers",5190.92,6.2
89,2,2,"Concealers",8366.3,7.74
89,2,2,"Revealers",5543.4,6.48
90,2,2,"Concealers",7096.84,7.18
90,2,2,"Revealers",5078.38,6.24
91,2,2,"Concealers",7307.52,7.3
91,2,2,"Revealers",7217.52,7.22
92,2,2,"Concealers",7642.46,7.42
92,2,2,"Revealers",4688.24,5.98
93,2,2,"Concealers",5980.54,6.62
93,2,2,"Revealers",4418.88,5.76
94,2,2,"Concealers",7206.66,7.18
94,2,2,"Revealers",4861.66,5.96
95,2,2,"Concealers",5968.88,6.42
95,2,2,"Revealers",4182.14,5.8
96,2,2,"Concealers",6682.9,6.86
96,2,2,"Revealers",4891.4,6
97,2,2,"Concealers",6959.08,6.94
97,2,2,"Revealers",4705.66,5.98
98,2,2,"Concealers",8310.52,7.76
98,2,2,"Revealers",5823.68,6.6
99,2,2,"Concealers",6841.8,6.9
99,2,2,"Revealers",4898.74,6.18
100,2,2,"Concealers",7889.06,7.48
100,2,2,"Revealers",4962.84,6.16
101,2,3,"Concealers",5488.5,6.04
101,2,3,"Revealers",3981.4,5.42
102,2,3,"Concealers",5668.68,5.84
102,2,3,"Revealers",2974.1,5.02
103,2,3,"Concealers",7674.18,7.46
103,2,3,"Revealers",6094.78,6.68
104,2,3,"Concealers",8045.22,7.48
104,2,3,"Revealers",5869.42,6.48
105,2,3,"Concealers",6918.76,6.82
105,2,3,"Revealers",4692.96,5.9
