"Run","costO","costS","Strategy","PI","RS"
1,0,0,"Concealers",5974.58,6.84
1,0,0,"Revealers",7458.68,7.36
2,0,0,"Concealers",6165.1,6.66
2,0,0,"Revealers",7403.5,7.24
3,0,0,"Concealers",5409.16,6.34
3,0,0,"Revealers",6503.76,6.9
4,0,0,"Concealers",5617.74,6.48
4,0,0,"Revealers",6205.72,6.76
5,0,0,"Concealers",5394.86,6.36
5,0,0,"Revealers",6982.98,7.08
6,0,0,"Concealers",7794.78,7.3
6,0,0,"Revealers",6727.5,7.1
7,0,0,"Concealers",6153.64,6.84
7,0,0,"Revealers",7876.08,7.58
8,0,0,"Concealers",7011.94,7.14
8,0,0,"Revealers",5336.1,6.24
9,0,0,"Concealers",5029.8,6.26
9,0,0,"Revealers",6719.32,7.12
10,0,0,"Concealers",4757.64,6.14
10,0,0,"Revealers",6859.44,6.94
11,0,0,"Concealers",6301.4,6.76
11,0,0,"Revealers",4929.98,5.98
12,0,0,"Concealers",7126.98,7.24
12,0,0,"Revealers",5845.74,6.52
13,0,0,"Concealers",6050.1,6.72
13,0,0,"Revealers",6334.86,6.76
14,0,0,"Concealers",6813.56,7.02
14,0,0,"Revealers",6634.2,7.02
15,0,0,"Concealers",6589.3,6.92
15,0,0,"Revealers",5094.68,6.2
16,0,0,"Concealers",6179.16,6.84
16,0,0,"Revealers",6920.96,7.02
17,0,0,"Concealers",5048.18,6.22
17,0,0,"Revealers",6428.68,6.8
18,0,0,"Concealers",6072.88,6.44
18,0,0,"Revealers",4818.5,6.12
19,0,0,"Concealers",6846.94,7.08
19,0,0,"Revealers",6209.9,6.8
20,0,0,"Concealers",6655.34,7
20,0,0,"Revealers",5529.48,6.42
21,0,0,"Concealers",5320.88,6.34
21,0,0,"Revealers",7310.86,7.28
22,0,0,"Concealers",5848.66,6.54
22,0,0,"Revealers",7084.24,7.18
23,0,0,"Concealers",6958.84,7.16
23,0,0,"Revealers",5888.68,6.7
24,0,0,"Concealers",6227.36,6.76
24,0,0,"Revealers",5433.84,6.2
25,0,0,"Concealers",6443.5,6.84
25,0,0,"Revealers",7729.8,7.46
26,0,0,"Concealers",3555.8,5.52
26,0,0,"Revealers",6549.5,6.72
27,0,0,"Concealers",6701.22,6.94
27,0,0,"Revealers",5781.8,6.62
28,0,0,"Concealers",5695.78,6.48
28,0,0,"Revealers",5972.24,6.56
29,0,0,"Concealers",4603.92,5.88
29,0,0,"Revealers",6387.3,6.72
30,0,0,"Concealers",7563.96,7.4
30,0,0,"Revealers",6250.24,6.72
31,0,0,"Concealers",5824.54,6.44
31,0,0,"Revealers",4964.78,6.18
32,0,0,"Concealers",3742.16,5.5
32,0,0,"Revealers",5995.4,6.44
33,0,0,"Concealers",5187.76,6.24
33,0,0,"Revealers",7228.8,7.32
34,0,0,"Concealers",5655.88,6.52
34,0,0,"Revealers",7356.38,7.36
35,0,0,"Concealers",7376.26,7.3
35,0,0,"Revealers",6406.94,6.98
36,0,0,"Concealers",6601.66,6.9
36,0,0,"Revealers",5469.44,6.42
37,0,0,"Concealers",6486.48,6.76
37,0,0,"Revealers",4577.86,5.94
38,0,0,"Concealers",6294.14,6.8
38,0,0,"Revealers",8100.3,7.72
39,0,0,"Concealers",7539.98,7.36
39,0,0,"Revealers",6336.18,6.82
40,0,0,"Concealers",4290.96,5.82
40,0,0,"Revealers",6857.24,6.84
41,0,0,"Concealers",6032.28,6.54
41,0,0,"Revealers",5434.32,6.48
42,0,0,"Concealers",7049.74,7.22
42,0,0,"Revealers",7560.58,7.38
43,0,0,"Concealers",6207.4,6.8
43,0,0,"Revealers",7670.16,7.34
44,0,0,"Concealers",6416.06,6.96
44,0,0,"Revealers",6312.42,6.84
45,0,0,"Concealers",5427.34,6.18
45,0,0,"Revealers",4502.06,5.96
46,0,0,"Concealers",6425.06,6.78
46,0,0,"Revealers",6343.86,6.82
47,0,0,"Concealers",7080.58,7.12
47,0,0,"Revealers",4877.82,6.2
48,0,0,"Concealers",7166.46,7.2
48,0,0,"Revealers",6240.44,6.86
49,0,0,"Concealers",3303.34,5.34
49,0,0,"Revealers",4996.7,5.78
50,0,0,"Concealers",6561.12,6.96
50,0,0,"Revealers",6919.72,7.24
51,0,0,"Concealers",5123.8,6.06
51,0,0,"Revealers",4256.44,5.76
52,0,0,"Concealers",4347.64,5.88
52,0,0,"Revealers",6549.34,6.86
53,0,0,"Concealers",5129.12,6.22
53,0,0,"Revealers",7799.76,7.62
54,0,0,"Concealers",5319.84,6.34
54,0,0,"Revealers",6766,6.98
55,0,0,"Concealers",6400.36,6.74
55,0,0,"Revealers",4566.9,6.04
56,0,0,"Concealers",5954.86,6.62
56,0,0,"Revealers",7343.14,7.36
57,0,0,"Concealers",6400.44,6.82
57,0,0,"Revealers",7605.12,7.46
58,0,0,"Concealers",6745.38,6.98
58,0,0,"Revealers",5353.3,6.34
59,0,0,"Concealers",5488.58,6.44
59,0,0,"Revealers",5973.56,6.64
60,0,0,"Concealers",5312.64,6
60,0,0,"Revealers",3753.88,5.52
61,0,0,"Concealers",2824.08,5
61,0,0,"Revealers",4794.1,5.72
62,0,0,"Concealers",6801.38,7.02
62,0,0,"Revealers",5077.2,6.3
63,0,0,"Concealers",4884.42,6.1
63,0,0,"Revealers",5708.4,6.44
64,0,0,"Concealers",4692.4,6
64,0,0,"Revealers",6035.14,6.68
65,0,0,"Concealers",6509.16,6.76
65,0,0,"Revealers",5002.9,6.16
66,0,0,"Concealers",5713.94,6.46
66,0,0,"Revealers",5326.74,6.32
67,0,0,"Concealers",7149.04,7.18
67,0,0,"Revealers",7260.94,7.34
68,0,0,"Concealers",6027.9,6.74
68,0,0,"Revealers",7942.34,7.68
69,0,0,"Concealers",6378.2,6.92
69,0,0,"Revealers",7027.2,7.14
70,0,0,"Concealers",7247,7.32
70,0,0,"Revealers",6075.76,6.72
71,0,0,"Concealers",5076.8,6.18
71,0,0,"Revealers",7127.86,7.1
72,0,0,"Concealers",5526.82,6.28
72,0,0,"Revealers",5038.68,6.12
73,0,0,"Concealers",4246.32,5.86
73,0,0,"Revealers",7332.98,7.2
74,0,0,"Concealers",6606.78,6.96
74,0,0,"Revealers",7027.04,7.22
75,0,0,"Concealers",5862.16,6.88
75,0,0,"Revealers",7700.62,7.38
76,0,0,"Concealers",5168.16,6.2
76,0,0,"Revealers",5940.28,6.6
77,0,0,"Concealers",5947.14,6.44
77,0,0,"Revealers",4525.44,5.92
78,0,0,"Concealers",6454.2,6.98
78,0,0,"Revealers",7388.9,7.4
79,0,0,"Concealers",6584.36,7.02
79,0,0,"Revealers",7352.1,7.3
80,0,0,"Concealers",7576,7.38
80,0,0,"Revealers",5130,6.32
81,0,0,"Concealers",5843.54,6.36
81,0,0,"Revealers",3828.52,5.6
82,0,0,"Concealers",4370.5,5.84
82,0,0,"Revealers",6759.12,6.88
83,0,0,"Concealers",6219.72,6.8
83,0,0,"Revealers",6437.36,6.78
84,0,0,"Concealers",5470.58,6.44
84,0,0,"Revealers",8302.32,7.9
85,0,0,"Concealers",5110.86,6.18
85,0,0,"Revealers",6179.92,6.6
86,0,0,"Concealers",6966.18,7.18
86,0,0,"Revealers",5085.28,6.32
87,0,0,"Concealers",6601.16,7
87,0,0,"Revealers",6415.82,6.84
88,0,0,"Concealers",6612.82,6.98
88,0,0,"Revealers",3830.6,5.76
89,0,0,"Concealers",6740.26,6.98
89,0,0,"Revealers",5985.32,6.78
90,0,0,"Concealers",6408.94,6.74
90,0,0,"Revealers",4696.84,6.1
91,0,0,"Concealers",3175.88,5.16
91,0,0,"Revealers",5856.68,6.32
92,0,0,"Concealers",6750.2,6.98
92,0,0,"Revealers",5855.5,6.48
93,0,0,"Concealers",7077.8,7.12
93,0,0,"Revealers",5627.26,6.54
94,0,0,"Concealers",6214.88,6.66
94,0,0,"Revealers",5086.22,6.24
95,0,0,"Concealers",8640.26,7.96
95,0,0,"Revealers",6520.54,6.9
96,0,0,"Concealers",5266.72,6.42
96,0,0,"Revealers",6989.16,7.02
97,0,0,"Concealers",6211.52,6.68
97,0,0,"Revealers",4156.1,5.82
98,0,0,"Concealers",7689.86,7.58
98,0,0,"Revealers",6479.4,6.98
99,0,0,"Concealers",5733.2,6.44
99,0,0,"Revealers",6568.26,6.86
100,0,0,"Concealers",6424.8,6.94
100,0,0,"Revealers",6641.16,6.94
101,0,0.5,"Concealers",7356.84,7.18
101,0,0.5,"Revealers",5300.78,6.42
102,0,0.5,"Concealers",5777.86,6.54
102,0,0.5,"Revealers",6474.94,6.74
103,0,0.5,"Concealers",6678.4,6.94
103,0,0.5,"Revealers",7440.02,7.42
104,0,0.5,"Concealers",3593.56,5.4
104,0,0.5,"Revealers",7021.42,6.96
105,0,0.5,"Concealers",5551.46,6.58
105,0,0.5,"Revealers",7740.02,7.56
106,0,0.5,"Concealers",5815.3,6.7
106,0,0.5,"Revealers",6481.06,6.86
107,0,0.5,"Concealers",4779.98,6.18
107,0,0.5,"Revealers",5733.58,6.52
108,0,0.5,"Concealers",6741.62,6.94
108,0,0.5,"Revealers",5236.62,6.32
109,0,0.5,"Concealers",4723.76,6.06
109,0,0.5,"Revealers",7728.68,7.34
110,0,0.5,"Concealers",7198.56,7.24
110,0,0.5,"Revealers",6685.96,6.9
111,0,0.5,"Concealers",6244.16,6.84
111,0,0.5,"Revealers",4472.58,5.9
112,0,0.5,"Concealers",6247.2,6.8
112,0,0.5,"Revealers",5535.5,6.4
113,0,0.5,"Concealers",6850.82,6.84
113,0,0.5,"Revealers",4532.28,5.98
114,0,0.5,"Concealers",4205.04,5.84
114,0,0.5,"Revealers",6922.94,7.1
115,0,0.5,"Concealers",5602.16,6.38
115,0,0.5,"Revealers",4727.5,6.16
116,0,0.5,"Concealers",5055.72,6.38
116,0,0.5,"Revealers",7589.84,7.46
117,0,0.5,"Concealers",7186.16,7.24
117,0,0.5,"Revealers",6965.2,7.2
118,0,0.5,"Concealers",7477.1,7.46
118,0,0.5,"Revealers",6293.04,6.88
119,0,0.5,"Concealers",6743.04,7.02
119,0,0.5,"Revealers",5947.44,6.7
120,0,0.5,"Concealers",6401.46,6.74
120,0,0.5,"Revealers",4839.56,6.16
121,0,0.5,"Concealers",4445.58,5.92
121,0,0.5,"Revealers",5612.16,6.32
122,0,0.5,"Concealers",7041.66,7.18
122,0,0.5,"Revealers",6018.84,6.68
123,0,0.5,"Concealers",4170.52,5.74
123,0,0.5,"Revealers",6577.38,6.78
124,0,0.5,"Concealers",4058,5.78
124,0,0.5,"Revealers",6011.92,6.46
125,0,0.5,"Concealers",4292.96,5.84
125,0,0.5,"Revealers",6968.04,7.12
126,0,0.5,"Concealers",6688.32,6.88
126,0,0.5,"Revealers",5251.54,6.32
127,0,0.5,"Concealers",7698.66,7.56
127,0,0.5,"Revealers",6599.3,6.94
128,0,0.5,"Concealers",8065.56,7.68
128,0,0.5,"Revealers",6756.9,7.16
129,0,0.5,"Concealers",6242.44,6.78
129,0,0.5,"Revealers",5327.96,6.28
130,0,0.5,"Concealers",7373.34,7.22
130,0,0.5,"Revealers",4523.54,6
131,0,0.5,"Concealers",5302.66,6.3
131,0,0.5,"Revealers",6441.64,6.86
132,0,0.5,"Concealers",6350.18,6.76
132,0,0.5,"Revealers",6521.7,6.84
133,0,0.5,"Concealers",5325.68,6.42
133,0,0.5,"Revealers",7409.88,7.18
134,0,0.5,"Concealers",7590.26,7.46
134,0,0.5,"Revealers",6168.16,6.78
135,0,0.5,"Concealers",4767.24,6.06
135,0,0.5,"Revealers",7010.38,7.08
136,0,0.5,"Concealers",4292.6,5.78
136,0,0.5,"Revealers",6471.24,6.74
137,0,0.5,"Concealers",6273.98,6.8
137,0,0.5,"Revealers",6742.36,7.18
138,0,0.5,"Concealers",3798.52,5.58
138,0,0.5,"Revealers",5565.3,6.08
139,0,0.5,"Concealers",5126.66,6.18
139,0,0.5,"Revealers",5704.78,6.4
140,0,0.5,"Concealers",6075.34,6.66
140,0,0.5,"Revealers",4658.6,6.1
141,0,0.5,"Concealers",6832.7,7.06
141,0,0.5,"Revealers",6522.48,6.9
142,0,0.5,"Concealers",5872.32,6.66
142,0,0.5,"Revealers",5979.76,6.6
143,0,0.5,"Concealers",5926.58,6.7
143,0,0.5,"Revealers",4419.52,5.94
144,0,0.5,"Concealers",6552.2,6.78
144,0,0.5,"Revealers",5229.28,6.26
145,0,0.5,"Concealers",5055.6,6.22
145,0,0.5,"Revealers",6302.86,6.74
146,0,0.5,"Concealers",6645.3,6.86
146,0,0.5,"Revealers",4907.1,6.14
147,0,0.5,"Concealers",6700.14,7.06
147,0,0.5,"Revealers",6045.14,6.76
148,0,0.5,"Concealers",5160.58,6.22
148,0,0.5,"Revealers",5916.12,6.48
149,0,0.5,"Concealers",6791.14,6.94
149,0,0.5,"Revealers",4668.54,6.02
150,0,0.5,"Concealers",5464.7,6.16
150,0,0.5,"Revealers",3974.4,5.7
151,0,0.5,"Concealers",5258.72,6.18
151,0,0.5,"Revealers",4938.92,6.08
152,0,0.5,"Concealers",4214.2,5.84
152,0,0.5,"Revealers",6650.42,6.88
153,0,0.5,"Concealers",6544.66,6.86
153,0,0.5,"Revealers",5630.42,6.54
154,0,0.5,"Concealers",4795.92,6.06
154,0,0.5,"Revealers",7002.38,7.14
155,0,0.5,"Concealers",6246.62,6.88
155,0,0.5,"Revealers",7257.86,7.36
156,0,0.5,"Concealers",6960.82,7.14
156,0,0.5,"Revealers",5964.6,6.82
157,0,0.5,"Concealers",7401.1,7.32
157,0,0.5,"Revealers",5831.54,6.64
158,0,0.5,"Concealers",7395.34,7.26
158,0,0.5,"Revealers",5856.36,6.58
159,0,0.5,"Concealers",4167.12,5.88
159,0,0.5,"Revealers",6449.7,6.76
160,0,0.5,"Concealers",7874.54,7.62
160,0,0.5,"Revealers",6651.86,7.08
161,0,0.5,"Concealers",6259.6,6.8
161,0,0.5,"Revealers",5946.18,6.68
162,0,0.5,"Concealers",5289.98,6.38
162,0,0.5,"Revealers",6146.68,6.6
163,0,0.5,"Concealers",6281.6,6.76
163,0,0.5,"Revealers",4925.66,6.1
164,0,0.5,"Concealers",5187.68,6.3
164,0,0.5,"Revealers",7056.22,7.08
165,0,0.5,"Concealers",6359.8,6.8
165,0,0.5,"Revealers",6627.84,6.94
166,0,0.5,"Concealers",7346.64,7.2
166,0,0.5,"Revealers",5792.7,6.6
167,0,0.5,"Concealers",6565.54,7.08
167,0,0.5,"Revealers",5904.46,6.6
168,0,0.5,"Concealers",7203.04,7.18
168,0,0.5,"Revealers",7081.32,7.22
169,0,0.5,"Concealers",7833.46,7.58
169,0,0.5,"Revealers",5711.34,6.48
170,0,0.5,"Concealers",5955.52,6.52
170,0,0.5,"Revealers",5088.94,6.3
171,0,0.5,"Concealers",5713.96,6.54
171,0,0.5,"Revealers",4490.06,6
172,0,0.5,"Concealers",6770.08,7.14
172,0,0.5,"Revealers",7463.5,7.42
173,0,0.5,"Concealers",6377.56,6.84
173,0,0.5,"Revealers",5549.72,6.42
174,0,0.5,"Concealers",4867.06,6.08
174,0,0.5,"Revealers",6480.24,6.96
175,0,0.5,"Concealers",3948,5.72
175,0,0.5,"Revealers",6306.46,6.7
176,0,0.5,"Concealers",6940.58,7.16
176,0,0.5,"Revealers",7480.02,7.42
177,0,0.5,"Concealers",6416.72,6.78
177,0,0.5,"Revealers",6850.54,7.16
178,0,0.5,"Concealers",4825.22,6.12
178,0,0.5,"Revealers",7584.9,7.44
179,0,0.5,"Concealers",6713.14,6.96
179,0,0.5,"Revealers",7460.54,7.32
180,0,0.5,"Concealers",5820.82,6.3
180,0,0.5,"Revealers",4421.92,5.84
181,0,0.5,"Concealers",6895.76,7.1
181,0,0.5,"Revealers",4639.2,5.94
182,0,0.5,"Concealers",5357.36,6.22
182,0,0.5,"Revealers",6240.78,6.82
183,0,0.5,"Concealers",7211.9,7.32
